grep,4_10,10,start
grep,4_10,10,fine-grained.preprocess.size,3107420
grep,4_10,10,fine-grained.preprocess.time,131234
grep,4_10,10,fine-grained.preprocess.number,2925 
grep,4_10,10,fine-grained.preprocess.time_p,130824.00000000001
grep,4_10,10,fine-grained.mine.size,5844
grep,4_10,10,fine-grained.mine.time,2227
grep,4_10,10,boost,0.05
grep,4_10,10,boost.functions.count,8
grep,4_10,10,boost.includes,-sampler-include-method=Gcompile -sampler-include-method=compile_range -sampler-include-method=dfasyntax -sampler-include-method=error -sampler-include-method=init_syntax_once -sampler-include-method=re_compile_pattern -sampler-include-method=re_set_syntax -sampler-include-method=regex_compile
grep,4_10,10,boost.preprocess.size,1593452
grep,4_10,10,boost.preprocess.time,13539
grep,4_10,10,boost.preprocess.number,1912 
grep,4_10,10,boost.preprocess.time_p,13289.0
grep,4_10,10,boost.mine.size,5860
grep,4_10,10,boost.mine.time,1620
grep,4_10,10,theta,0.341078
grep,4_10,10,prune.functions.count,11
grep,4_10,10,prune.includes,-sampler-include-method=Gcompile -sampler-include-method=dfasyntax -sampler-include-method=error -sampler-include-method=init_syntax_once -sampler-include-method=install_matcher -sampler-include-method=main -sampler-include-method=prepend_default_options -sampler-include-method=re_compile_pattern -sampler-include-method=re_set_syntax -sampler-include-method=regex_compile -sampler-include-method=xmalloc
grep,4_10,10,prune.preprocess.size,1693992
grep,4_10,10,prune.preprocess.time,19423
grep,4_10,10,prune.preprocess.number,2785 
grep,4_10,10,prune.preprocess.time_p,19227.0
grep,4_10,10,prune.mine.size,5792
grep,4_10,10,prune.mine.time,2286
grep,4_10,10,boost.profile.time,35781
grep,4_10,10,boost.profile.size,230268
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_b.sites
grep,4_10,10,boost.profile.number,288798
grep,4_10,10,prune.profile.time,49672
grep,4_10,10,prune.profile.size,355796
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_p.sites
grep,4_10,10,prune.profile.number,447640
grep,4_10,10,prune-minus-boost.profile.time,24409
grep,4_10,10,prune-minus-boost.profile.size,129528
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_pmb.sites
grep,4_10,10,prune-minus-boost.profile.number,163536
grep,4_10,10,end
