nanoxml,1_1,10,start
nanoxml,1_1,10,fine-grained.preprocess.size,162256
nanoxml,1_1,10,fine-grained.preprocess.time,648
nanoxml,1_1,10,fine-grained.preprocess.number,74 
nanoxml,1_1,10,fine-grained.preprocess.time_p,508.0
nanoxml,1_1,10,fine-grained.mine.size,5792
nanoxml,1_1,10,fine-grained.mine.time,1599
nanoxml,1_1,10,boost,0.05
nanoxml,1_1,10,boost.functions.count,10
nanoxml,1_1,10,boost.includes,-sampler-include-method=-net.n3.nanoxml.NonValidator--void-processAttList-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOFOfCurrentStream--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-openStream-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addExternalEntity-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addInternalEntity-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanSystemID-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-errorInvalidInput-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipTag-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver--
nanoxml,1_1,10,boost.preprocess.size,64556
nanoxml,1_1,10,boost.preprocess.time,365
nanoxml,1_1,10,boost.preprocess.number,15 
nanoxml,1_1,10,boost.preprocess.time_p,262.0
nanoxml,1_1,10,boost.mine.size,5828
nanoxml,1_1,10,boost.mine.time,1501
nanoxml,1_1,10,theta,0.552022
nanoxml,1_1,10,prune.functions.count,29
