sed,2_1,10,start
sed,2_1,10,fine-grained.preprocess.size,1726556
sed,2_1,10,fine-grained.preprocess.time,28443
sed,2_1,10,fine-grained.preprocess.number,2347 
sed,2_1,10,fine-grained.preprocess.time_p,28246.0
sed,2_1,10,fine-grained.mine.size,5788
sed,2_1,10,fine-grained.mine.time,3588
sed,2_1,10,boost,0.05
sed,2_1,10,boost.functions.count,7
sed,2_1,10,boost.includes,-sampler-include-method=bad_prog -sampler-include-method=ck_fopen -sampler-include-method=ck_malloc -sampler-include-method=compile_address -sampler-include-method=compile_program -sampler-include-method=inchar -sampler-include-method=savchar
sed,2_1,10,boost.preprocess.size,1120008
sed,2_1,10,boost.preprocess.time,3467
sed,2_1,10,boost.preprocess.number,1552 
sed,2_1,10,boost.preprocess.time_p,3317.0
sed,2_1,10,boost.mine.size,5788
sed,2_1,10,boost.mine.time,1455
sed,2_1,10,theta,0.412737
sed,2_1,10,prune.functions.count,9
sed,2_1,10,prune.includes,-sampler-include-method=ck_fopen -sampler-include-method=ck_malloc -sampler-include-method=compile_address -sampler-include-method=compile_file -sampler-include-method=compile_program -sampler-include-method=inchar -sampler-include-method=main -sampler-include-method=re_set_syntax -sampler-include-method=savchar
sed,2_1,10,prune.preprocess.size,1159956
sed,2_1,10,prune.preprocess.time,4896
sed,2_1,10,prune.preprocess.number,2061 
sed,2_1,10,prune.preprocess.time_p,4757.0
sed,2_1,10,prune.mine.size,5856
sed,2_1,10,prune.mine.time,1633
sed,2_1,10,boost.profile.time,8729
sed,2_1,10,boost.profile.size,39067
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v2/subv1/v2_subv1_b.sites
sed,2_1,10,boost.profile.number,107964
sed,2_1,10,prune.profile.time,10030
sed,2_1,10,prune.profile.size,51945
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v2/subv1/v2_subv1_p.sites
sed,2_1,10,prune.profile.number,144142
sed,2_1,10,prune-minus-boost.profile.time,4983
sed,2_1,10,prune-minus-boost.profile.size,12533
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v2/subv1/v2_subv1_pmb.sites
sed,2_1,10,prune-minus-boost.profile.number,34902
sed,2_1,10,end
