grep,3_12,1,start
grep,3_12,1,coarse-grained.profile.time,5525
grep,3_12,1,coarse-grained.profile.size,352
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v3/subv12/v3_subv12_c.sites
grep,3_12,1,coarse-grained.profile.number,131
grep,3_12,1,fine-grained.profile.time,173781
grep,3_12,1,fine-grained.profile.size,1006422
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v3/subv12/v3_subv12_f.sites
grep,3_12,1,fine-grained.profile.number,1246878
grep,3_12,1,fine-grained.preprocess.size,2166908
grep,3_12,1,fine-grained.preprocess.time,67394
grep,3_12,1,fine-grained.preprocess.number,3866 
grep,3_12,1,fine-grained.preprocess.time_p,67115.0
grep,3_12,1,fine-grained.mine.size,5824
grep,3_12,1,fine-grained.mine.time,14239
grep,3_12,1,boost,0.05
grep,3_12,1,boost.functions.count,13
grep,3_12,1,boost.includes,-sampler-include-method=addtok -sampler-include-method=atom -sampler-include-method=branch -sampler-include-method=closure -sampler-include-method=dfacomp -sampler-include-method=dfainit -sampler-include-method=dfaparse -sampler-include-method=error -sampler-include-method=insert_op2 -sampler-include-method=lex -sampler-include-method=regexp -sampler-include-method=setmatcher -sampler-include-method=xmalloc_1
grep,3_12,1,boost.preprocess.size,1519564
grep,3_12,1,boost.preprocess.time,6575
grep,3_12,1,boost.preprocess.number,1622 
grep,3_12,1,boost.preprocess.time_p,6389.0
grep,3_12,1,boost.mine.size,5836
grep,3_12,1,boost.mine.time,3184
grep,3_12,1,theta,0.675677
grep,3_12,1,prune.functions.count,0
grep,3_12,1,prune.includes,
grep,3_12,1,boost.profile.time,grep,3_12,1,boost.profile.size,109709
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v3/subv12/v3_subv12_b.sites
grep,3_12,1,boost.profile.number,137694
grep,3_12,1,prune.profile.time,0
grep,3_12,1,prune.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v3/subv12/v3_subv12_p.sites
grep,3_12,1,prune.profile.number,0
grep,3_12,1,prune-minus-boost.profile.time,1
grep,3_12,1,prune-minus-boost.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v3/subv12/v3_subv12_pmb.sites
grep,3_12,1,prune-minus-boost.profile.number,0
grep,3_12,1,end
