space,14_-,5,start
space,14_-,5,fine-grained.preprocess.size,1887604
space,14_-,5,fine-grained.preprocess.time,62135
space,14_-,5,fine-grained.preprocess.number,2832 
space,14_-,5,fine-grained.preprocess.time_p,61816.0
space,14_-,5,fine-grained.mine.size,5892
space,14_-,5,fine-grained.mine.time,15481
space,14_-,5,boost,0.05
space,14_-,5,boost.functions.count,6
space,14_-,5,boost.includes,-sampler-include-method=grampexc -sampler-include-method=grexcdef -sampler-include-method=grphaexc -sampler-include-method=parserro -sampler-include-method=remdef -sampler-include-method=unifamp
space,14_-,5,boost.preprocess.size,303320
space,14_-,5,boost.preprocess.time,1316
space,14_-,5,boost.preprocess.number,99 
space,14_-,5,boost.preprocess.time_p,1172.0
space,14_-,5,boost.mine.size,5844
space,14_-,5,boost.mine.time,2457
space,14_-,5,theta,0.665725
space,14_-,5,prune.functions.count,42
space,14_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=adremdef -sampler-include-method=ampval -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp
space,14_-,5,prune.preprocess.size,1597220
space,14_-,5,prune.preprocess.time,20086
space,14_-,5,prune.preprocess.number,2201 
space,14_-,5,prune.preprocess.time_p,19903.0
space,14_-,5,prune.mine.size,5836
space,14_-,5,prune.mine.time,14549
space,14_-,5,boost.profile.time,10079
space,14_-,5,boost.profile.size,9610
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v14/v14_b.sites
space,14_-,5,boost.profile.number,7466
space,14_-,5,prune.profile.time,36385
space,14_-,5,prune.profile.size,181131
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v14/v14_p.sites
space,14_-,5,prune.profile.number,143400
space,14_-,5,prune-minus-boost.profile.time,31271
space,14_-,5,prune-minus-boost.profile.size,151059
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v14/v14_pmb.sites
space,14_-,5,prune-minus-boost.profile.number,118894
space,14_-,5,end
