nanoxml,3_5,5,start
nanoxml,3_5,5,fine-grained.preprocess.size,165016
nanoxml,3_5,5,fine-grained.preprocess.time,672
nanoxml,3_5,5,fine-grained.preprocess.number,183 
nanoxml,3_5,5,fine-grained.preprocess.time_p,599.0
nanoxml,3_5,5,fine-grained.mine.size,5884
nanoxml,3_5,5,fine-grained.mine.time,2184
nanoxml,3_5,5,boost,0.05
nanoxml,3_5,5,boost.functions.count,6
nanoxml,3_5,5,boost.includes,-sampler-include-method=-RVecChildNamed2_wy_v2--void-main-java.lang.String[]-- -sampler-include-method=-RVecChildNamed3_wy_v2--void-main-java.lang.String[]-- -sampler-include-method=-net.n3.nanoxml.ContentReader--void-close--- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-addPCData-java.io.Reader,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA--- -sampler-include-method=-net.n3.nanoxml.XMLElement--java.util.Vector-getChildrenNamed-java.lang.String--
nanoxml,3_5,5,boost.preprocess.size,49020
nanoxml,3_5,5,boost.preprocess.time,284
nanoxml,3_5,5,boost.preprocess.number,3 
nanoxml,3_5,5,boost.preprocess.time_p,201.0
nanoxml,3_5,5,boost.mine.size,5880
nanoxml,3_5,5,boost.mine.time,1552
nanoxml,3_5,5,theta,0.010291
nanoxml,3_5,5,prune.functions.count,37
nanoxml,3_5,5,prune.includes,-sampler-include-method=-RVecChildNamed2_wy_v2--void-main-java.lang.String[]-- -sampler-include-method=-RVecChildNamed3_wy_v2--void-main-java.lang.String[]-- -sampler-include-method=-net.n3.nanoxml.ContentReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.ContentReader--void-close--- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-attributeAdded-java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-elementAttributesProcessed-java.lang.String,java.util.Properties,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-elementStarted-java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-addAttribute-java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-addPCData-java.io.Reader,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-endElement-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.StdXMLBuilder--void-startElement-java.lang.String,java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--java.lang.Object-parse--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processAttribute-java.util.Vector,java.util.Vector,java.util.Vector-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processElement-java.lang.String,java.util.Properties-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processSpecialTag-boolean-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-scanData--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-scanSomeTag-boolean,java.lang.String,java.util.Properties-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOF--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--char-read--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--int-getLineNr--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-stream2reader-java.io.InputStream,java.lang.StringBuffer-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.lang.String-getEncoding-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--boolean-hasAttribute-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--int-getChildrenCount--- -sampler-include-method=-net.n3.nanoxml.XMLElement--java.util.Vector-getChildrenNamed-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--net.n3.nanoxml.XMLAttribute-findAttribute-java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void--init--java.lang.String,java.lang.String,java.lang.String,int-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void-addChild-net.n3.nanoxml.IXMLElement-- -sampler-include-method=-net.n3.nanoxml.XMLElement--void-setAttribute-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--java.io.Reader-getEntity-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--boolean-checkLiteral-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.IXMLEntityResolver,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--char-read-net.n3.nanoxml.IXMLReader,boolean[],char,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.io.Reader-scanEntity-boolean[],net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanIdentifier-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanString-net.n3.nanoxml.IXMLReader,char,boolean,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipWhitespace-net.n3.nanoxml.IXMLReader,char,java.lang.StringBuffer,boolean[]--
nanoxml,3_5,5,prune.preprocess.size,160212
nanoxml,3_5,5,prune.preprocess.time,670
nanoxml,3_5,5,prune.preprocess.number,183 
nanoxml,3_5,5,prune.preprocess.time_p,537.0
nanoxml,3_5,5,prune.mine.size,5948
nanoxml,3_5,5,prune.mine.time,2748
nanoxml,3_5,5,boost.profile.time,75754
nanoxml,3_5,5,boost.profile.size,261
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v3/subv5/boost/output.sites
nanoxml,3_5,5,boost.profile.number,650
nanoxml,3_5,5,prune.profile.time,1027534
nanoxml,3_5,5,prune.profile.size,1175
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v3/subv5/prune/output.sites
nanoxml,3_5,5,prune.profile.number,3640
nanoxml,3_5,5,prune-minus-boost.profile.time,1035381
nanoxml,3_5,5,prune-minus-boost.profile.size,989
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v3/subv5/prune-minus-boost/output.sites
nanoxml,3_5,5,prune-minus-boost.profile.number,2990
nanoxml,3_5,5,end
