gzip,1_15,5,start
gzip,1_15,5,fine-grained.preprocess.size,2731008
gzip,1_15,5,fine-grained.preprocess.time,105422
gzip,1_15,5,fine-grained.preprocess.number,27604 
gzip,1_15,5,fine-grained.preprocess.time_p,105128.0
gzip,1_15,5,fine-grained.mine.size,5824
gzip,1_15,5,fine-grained.mine.time,70392
gzip,1_15,5,boost,0.05
gzip,1_15,5,boost.functions.count,5
gzip,1_15,5,boost.includes,-sampler-include-method=ct_tally -sampler-include-method=fill_window -sampler-include-method=longest_match -sampler-include-method=send_all_trees -sampler-include-method=updcrc
gzip,1_15,5,boost.preprocess.size,724448
gzip,1_15,5,boost.preprocess.time,3537
gzip,1_15,5,boost.preprocess.number,4290 
gzip,1_15,5,boost.preprocess.time_p,3354.0
gzip,1_15,5,boost.mine.size,5792
gzip,1_15,5,boost.mine.time,1206
gzip,1_15,5,theta,0.185128
gzip,1_15,5,prune.functions.count,34
gzip,1_15,5,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=getopt_long -sampler-include-method=init_block -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=treat_stdin -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,1_15,5,prune.preprocess.size,1781772
gzip,1_15,5,prune.preprocess.time,53819
gzip,1_15,5,prune.preprocess.number,26767 
gzip,1_15,5,prune.preprocess.time_p,53567.0
gzip,1_15,5,prune.mine.size,5828
gzip,1_15,5,prune.mine.time,65301
gzip,1_15,5,boost.profile.time,396961
gzip,1_15,5,boost.profile.size,45148
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv15/v1_subv15_b.sites
gzip,1_15,5,boost.profile.number,169470
gzip,1_15,5,prune-minus-boost.profile.time,225934
gzip,1_15,5,prune-minus-boost.profile.size,308108
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v1/subv15/v1_subv15_pmb.sites
gzip,1_15,5,prune-minus-boost.profile.number,1319654
gzip,1_15,5,end
