nanoxml,1_1,5,start
nanoxml,1_1,5,fine-grained.preprocess.size,164624
nanoxml,1_1,5,fine-grained.preprocess.time,575
nanoxml,1_1,5,fine-grained.preprocess.number,74 
nanoxml,1_1,5,fine-grained.preprocess.time_p,461.0
nanoxml,1_1,5,fine-grained.mine.size,5888
nanoxml,1_1,5,fine-grained.mine.time,1458
nanoxml,1_1,5,boost,0.05
nanoxml,1_1,5,boost.functions.count,10
nanoxml,1_1,5,boost.includes,-sampler-include-method=-net.n3.nanoxml.NonValidator--void-processAttList-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--boolean-atEOFOfCurrentStream--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-openStream-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addExternalEntity-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addInternalEntity-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanSystemID-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-errorInvalidInput-net.n3.nanoxml.IXMLReader,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--void-skipTag-net.n3.nanoxml.IXMLReader,char,net.n3.nanoxml.XMLEntityResolver--
nanoxml,1_1,5,boost.preprocess.size,64748
nanoxml,1_1,5,boost.preprocess.time,359
nanoxml,1_1,5,boost.preprocess.number,15 
nanoxml,1_1,5,boost.preprocess.time_p,228.0
nanoxml,1_1,5,boost.mine.size,5828
nanoxml,1_1,5,boost.mine.time,1403
