siena,1_2,1,start
siena,1_2,1,coarse-grained.profile.time,2566069
siena,1_2,1,coarse-grained.profile.size,2292
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/coarse-grained/output.sites
siena,1_2,1,coarse-grained.profile.number,245
siena,1_2,1,fine-grained.profile.time,2566317
siena,1_2,1,fine-grained.profile.size,15900
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/fine-grained/output.sites
siena,1_2,1,fine-grained.profile.number,19460
siena,1_2,1,fine-grained.preprocess.size,313504
siena,1_2,1,fine-grained.preprocess.time,1576
siena,1_2,1,fine-grained.preprocess.number,55 
siena,1_2,1,fine-grained.preprocess.time_p,1454.0
siena,1_2,1,fine-grained.mine.size,5836
siena,1_2,1,fine-grained.mine.time,1151
siena,1_2,1,boost,0.05
siena,1_2,1,boost.functions.count,18
siena,1_2,1,boost.includes,-sampler-include-method=-siena.AttributeConstraint--int-hashCode--- -sampler-include-method=-siena.AttributeValue--double-doubleValue--- -sampler-include-method=-siena.AttributeValue--void--init--siena.AttributeValue-- -sampler-include-method=-siena.ByteBuf--byte[]-bytes--- -sampler-include-method=-siena.ByteBuf--void-append-byte-- -sampler-include-method=-siena.ByteBuf--void-append-byte[]-- -sampler-include-method=-siena.Filter--void-addConstraint-java.lang.String,siena.AttributeConstraint-- -sampler-include-method=-siena.OpTest--void-main-java.lang.String[]-- -sampler-include-method=-siena.SENP--boolean-match-byte[],byte[]-- -sampler-include-method=-siena.SENP--siena.AttributeConstraint-readAttributeConstraint-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.AttributeValue-readAttribute-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeConstraint-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeValue-- -sampler-include-method=-siena.Tokenizer--boolean-isCurrentFirstIdentChar--- -sampler-include-method=-siena.Tokenizer--double-read_decimal--- -sampler-include-method=-siena.Tokenizer--int-currByte--- -sampler-include-method=-siena.Tokenizer--int-nextByte--- -sampler-include-method=-siena.Tokenizer--int-read_id---
siena,1_2,1,boost.preprocess.size,60204
siena,1_2,1,boost.preprocess.time,481
siena,1_2,1,boost.preprocess.number,21 
siena,1_2,1,boost.preprocess.time_p,375.0
siena,1_2,1,boost.mine.size,5840
siena,1_2,1,boost.mine.time,1202
siena,1_2,1,theta,0.121273
siena,1_2,1,prune.functions.count,29
siena,1_2,1,prune.includes,-sampler-include-method=-siena.AttributeConstraint--int-hashCode--- -sampler-include-method=-siena.AttributeValue--double-doubleValue--- -sampler-include-method=-siena.AttributeValue--void--init--siena.AttributeValue-- -sampler-include-method=-siena.ByteBuf--byte[]-bytes--- -sampler-include-method=-siena.ByteBuf--void-append-byte-- -sampler-include-method=-siena.ByteBuf--void-append-byte[]-- -sampler-include-method=-siena.Filter--void-addConstraint-java.lang.String,siena.AttributeConstraint-- -sampler-include-method=-siena.HierarchicalDispatcher--void--init---- -sampler-include-method=-siena.HierarchicalDispatcher--void-disconnectMaster--- -sampler-include-method=-siena.HierarchicalDispatcher--void-setMaster-java.lang.String-- -sampler-include-method=-siena.OpTest--void-main-java.lang.String[]-- -sampler-include-method=-siena.PacketHandlerFactory--siena.PacketHandler-getHandler-java.lang.String-- -sampler-include-method=-siena.Poset--boolean-empty--- -sampler-include-method=-siena.SENP--boolean-match-byte[],byte[]-- -sampler-include-method=-siena.SENP--siena.AttributeConstraint-readAttributeConstraint-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.AttributeValue-readAttribute-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeConstraint-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeValue-- -sampler-include-method=-siena.SENP--siena.SENPPacket-decode-byte[]-- -sampler-include-method=-siena.SienaId--java.lang.String-getId--- -sampler-include-method=-siena.TCPPacketHandler--void--init--java.lang.String-- -sampler-include-method=-siena.Tokenizer--boolean-isCurrentFirstIdentChar--- -sampler-include-method=-siena.Tokenizer--double-read_decimal--- -sampler-include-method=-siena.Tokenizer--int-currByte--- -sampler-include-method=-siena.Tokenizer--int-nextByte--- -sampler-include-method=-siena.Tokenizer--int-nextToken--- -sampler-include-method=-siena.Tokenizer--int-read_id--- -sampler-include-method=-siena.Tokenizer--int-read_int--- -sampler-include-method=-siena.Tokenizer--int-read_number---
siena,1_2,1,prune.preprocess.size,98680
siena,1_2,1,prune.preprocess.time,758
siena,1_2,1,prune.preprocess.number,55 
siena,1_2,1,prune.preprocess.time_p,659.0
siena,1_2,1,prune.mine.size,5852
siena,1_2,1,prune.mine.time,1248
siena,1_2,1,boost.profile.time,2562584
siena,1_2,1,boost.profile.size,2292
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/boost/output.sites
siena,1_2,1,boost.profile.number,1076
siena,1_2,1,prune-minus-boost.profile.time,2561323
siena,1_2,1,prune-minus-boost.profile.size,2288
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/prune-minus-boost/output.sites
siena,1_2,1,prune-minus-boost.profile.number,2854
siena,1_2,1,end
