pid,bid,top-k,boost.includes,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune.includes,prune.includes_diff,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,prune.theta,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,raw.profile.time,start,inst_num,inst,percent2_1_0,percent2_1,percent2_2_0,percent2_2,percent3_1_0,percent3_1,percent3_2_0,percent3_2,percent4_1_0,percent4_1,percent4_2_0,percent4_2,boost.mine.size,boost.mine.time,fine-grained.mine.size,fine-grained.mine.time,prune.mine.size,prune.mine.time
Chart,1,1,0.0,10.0,702688.0,3362.0,2886.0,112.0,9144.0,56167.0,8483.0,61776.0,262063.0,0.0,576.0,45573568.0,147364.0,145928.0,620460.0,1623216.0,2518808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005719,0.0,0.0,0.0,10474.0,0.0,8595.0,0.013852625471424428,318230.0,0.1263415075702475,70920.0,0.04369104296655528,2886.0,0.01977687626774848,702688.0,0.015418762033290876,104.0,0.5683060109289617,23456.0,0.3819697759249609,23648.0,48.7,2928608.0,212220.1,,
Chart,1,5,0.0,10.0,696176.0,2111.0,2886.0,112.0,9144.0,56167.0,8483.0,61776.0,262063.0,0.0,576.0,45580832.0,143153.0,145928.0,620460.0,1623216.0,2518808.0,0.0,0.0,576.0,2441488.0,5683.0,5014.0,3192.0,17916.0,52531.0,0.0037359999999999997,3080.0,9176.0,54502.0,10474.0,0.0,11675.0,0.01881668439544854,372732.0,0.14797952047158816,80096.0,0.049344018294546134,7900.0,0.05413628638780769,2441488.0,0.053563919149172176,525.0,2.8688524590163933,61952.0,0.9992258064516129,24320.0,19.3,2929840.0,207133.3,64912.0,441.5
Chart,1,10,0.0,10.0,703152.0,2033.0,2886.0,112.0,9144.0,56167.0,8483.0,61776.0,262063.0,0.0,576.0,45592592.0,138596.0,145928.0,620460.0,1623216.0,2518808.0,0.0,0.0,576.0,2439408.0,4015.0,3357.0,3192.0,17916.0,52531.0,0.002677,3080.0,9176.0,54502.0,10474.0,0.0,11675.0,0.01881668439544854,372732.0,0.14797952047158816,80096.0,0.049344018294546134,6243.0,0.04278137163532701,2439408.0,0.053504481605257274,367.0,2.0054644808743167,62544.0,0.9997442455242966,24208.0,38.3,2929216.0,197416.0,64912.0,409.1
Chart,2,1,0.0,9.0,575488.0,2826.0,2252.0,36.0,9136.0,52850.0,8482.0,61720.0,256497.0,0.0,115.0,45571408.0,147486.0,145863.0,620334.0,1621724.0,2517902.0,0.0,0.0,31.0,988896.0,3215.0,2592.0,224.0,9136.0,54108.0,0.010533,200.0,9136.0,53307.0,9563.0,0.0,8718.0,0.01405371944791032,362654.0,0.14403022834089652,79992.0,0.0493252859302816,4844.0,0.033209244290875684,988896.0,0.021699922021281414,189.0,3.4363636363636365,31120.0,0.7287373548145373,25056.0,47.4,2810592.0,2091.7,32368.0,61.7
Chart,2,5,0.0,9.0,585280.0,1917.0,2252.0,36.0,9136.0,52850.0,8482.0,61720.0,256497.0,0.0,115.0,45574192.0,140476.0,145863.0,620334.0,1621724.0,2517902.0,0.0,0.0,31.0,986688.0,2311.0,1804.0,224.0,9136.0,54108.0,0.007776000000000001,200.0,9136.0,53307.0,9563.0,0.0,8718.0,0.01405371944791032,362654.0,0.14403022834089652,79992.0,0.0493252859302816,4056.0,0.027806914707636618,986688.0,0.021650147960933678,140.0,2.5454545454545454,31664.0,0.7345953971789161,25360.0,53.4,2811088.0,2051.1,32144.0,53.4
Chart,2,10,0.0,9.0,586832.0,2054.0,2252.0,36.0,9136.0,52850.0,8482.0,61720.0,256497.0,0.0,115.0,45574032.0,134519.0,145863.0,620334.0,1621724.0,2517902.0,0.0,0.0,115.0,2295232.0,3999.0,3375.0,904.0,9132.0,57529.0,0.00481,868.0,9136.0,49335.0,9563.0,0.0,9386.0,0.01513055869902343,358682.0,0.14245272453018426,79992.0,0.0493252859302816,5627.0,0.03857729513310435,2295232.0,0.050362715328764414,102.0,1.8545454545454545,42592.0,1.0049075122687807,25840.0,51.9,42624.0,81.7,42784.0,67.3
Chart,3,1,0.0,9.0,566976.0,2517.0,2084.0,32.0,9120.0,55796.0,8481.0,61608.0,263312.0,0.0,97.0,45574368.0,147630.0,146095.0,620208.0,1618764.0,2537213.0,0.0,0.0,97.0,1683120.0,3603.0,3047.0,484.0,9120.0,52906.0,0.0044729999999999995,452.0,9120.0,58312.0,10200.0,0.0,8965.0,0.014454828057683874,377420.0,0.14875377037718157,79848.0,0.0493265231991816,5131.0,0.035120982922071255,1683120.0,0.03693128558579244,72.0,0.4528301886792453,34704.0,1.0,21568.0,43.2,34800.0,57.1,34560.0,64.0
Chart,3,5,0.0,9.0,567008.0,1842.0,2084.0,32.0,9120.0,55796.0,8481.0,61608.0,263312.0,0.0,97.0,45633824.0,138597.0,146095.0,620208.0,1618764.0,2537213.0,0.0,0.0,97.0,1681792.0,2628.0,1965.0,484.0,9120.0,52906.0,0.0044729999999999995,452.0,9120.0,58312.0,10200.0,0.0,8965.0,0.014454828057683874,377420.0,0.14875377037718157,79848.0,0.0493265231991816,4049.0,0.02771484308155652,1681792.0,0.036854066843050454,154.0,0.9685534591194969,34496.0,1.012206572769953,21264.0,47.9,34640.0,74.9,34928.0,59.2
Chart,3,10,0.0,9.0,578640.0,1761.0,2084.0,32.0,9120.0,55796.0,8481.0,61608.0,263312.0,0.0,97.0,45559984.0,132137.0,146095.0,620208.0,1618764.0,2537213.0,0.0,0.0,97.0,1682560.0,2387.0,1890.0,484.0,9120.0,52906.0,0.0044729999999999995,452.0,9120.0,58312.0,10200.0,0.0,8965.0,0.014454828057683874,377420.0,0.14875377037718157,79848.0,0.0493265231991816,3974.0,0.027201478490023613,1682560.0,0.03693065388258258,106.0,0.6666666666666666,34560.0,0.9872029250457038,21824.0,47.1,35152.0,73.5,34880.0,73.9
Chart,4,1,0.0,26.0,784240.0,3018.0,2419.0,80.0,9088.0,57724.0,8250.0,61384.0,249206.0,0.0,1898.0,45482944.0,141771.0,140305.0,608670.0,1578384.0,2397658.0,0.0,0.0,386.0,2352000.0,5344.0,4623.0,2536.0,9088.0,59705.0,0.066219,2456.0,9088.0,57172.0,9734.0,0.0,10786.0,0.01772060393973746,364102.0,0.15185735413474316,79560.0,0.05040598485539641,7042.0,0.05019065607070311,2352000.0,0.05171169218949415,245.0,1.3243243243243243,67152.0,0.34717511787575484,22864.0,52.5,2830336.0,2260.4,71936.0,73.5
