pid,bid,cg,fg,ng
Closure,1,590729226860,991217883464,82052302605
Closure,2,95594517741,147398877157,14419686956
Closure,3,593048460081,994461034144,82468843010
Closure,4,134609127998,189561781369,21855821715
Closure,5,595611120541,998542382116,82718993130
Closure,6,95411424987,147609962676,14372602043
Closure,7,97913768032,150586552305,14784179150
Closure,8,596216065705,1000321018859,82748500366
Closure,9,611055501929,1023975831065,86167240530
Closure,10,104425121432,160402864778,15855529894
Closure,11,97083512066,149921682435,14643875725
Closure,12,591761677747,992712063254,82254062689
Closure,13,536179871673,875023479700,75093640033
Closure,14,389218832765,626941077034,57850384587
Closure,15,593048460081,994461034144,82468843010
Closure,16,588142628898,986723534645,81161190718
Closure,17,98681214460,152197491121,14928414642
Closure,18,98491206766,151727867078,14898390480
Closure,19,98890636089,152408318040,14969353605
Closure,20,584885237179,982878047750,81330061127
Closure,21,98681214460,152197491121,14928414642
Closure,22,98681214460,152197491121,14928414642
Closure,23,572697006742,964150591272,80177685409
Closure,24,588142628898,986723534645,81161190718
Closure,25,433804401935,693043566349,64342906709
Closure,26,98738682129,152084553667,14945818351
Closure,27,101805644033,149472999952,15995063166
Closure,28,573052243167,962191690878,79645536277
Closure,29,595611120541,998542382116,82718993130
Closure,30,591556886382,992400281472,82238980339
Closure,31,100952099108,155009427060,15297663105
Closure,32,303200916296,481511085664,46329944426
Closure,33,84079006498,119652267916,13261341912
Closure,34,221220144249,378129918061,29280115996
Closure,35,436265294277,696325126331,64742179334
Closure,36,588838328885,987550291155,81791018432
Closure,37,96203176423,146167265648,14685670155
Closure,38,220468660911,376996173486,29163711802
Closure,39,84131252733,119819577263,13264196351
Closure,40,588401301622,983651546327,82334640134
Closure,41,101142106802,155479051103,15327687267
Closure,42,119846181273,182946677372,19558181594
Closure,43,114822521313,177693998660,18536849553
Closure,44,237456794014,403799794102,32941934790
Closure,45,604409641371,1013432831021,85261464891
Closure,46,467758286875,737475791333,74062090129
Closure,47,113199728773,174200616430,18288075715
Closure,48,115195469082,177277042002,18665557513
Closure,49,475558452814,799338280074,67532569949
Closure,50,608777969357,1020365570051,85911657992
Closure,51,238109795407,403172784264,33060208703
Closure,52,238861278745,404306528839,33176612897
Closure,53,609291535052,1020757329673,85928155416
