3,65,1,start
3,65,1,raw.profile.time,433
3,65,1,coarse-grained.profile.time,3738
3,65,1,coarse-grained.profile.number,4455
3,65,1,coarse-grained.profile.size,1252
3,65,1,fine-grained.profile.time,155788
3,65,1,fine-grained.profile.size,60692
3,65,1,fine-grained.profile.number,677116
3,65,1,fine-grained.preprocess.size,4945760
3,65,1,fine-grained.preprocess.time,7980
3,65,1,fine-grained.preprocess.number,3975
3,65,1,fine-grained.preprocess.time_p,7432.0
3,65,1,fine-grained.mine.size,349392
3,65,1,fine-grained.mine.time,17713
3,65,1,boost.includes,-sampler-include-method=-org.apache.commons.math.linear.Array2DRowRealMatrix--double-getEntry-int,int-- -sampler-include-method=-org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer--double-getChiSquare---
3,65,1,boost.profile.number,110
3,65,1,boost.profile.time,2442
3,65,1,boost.profile.size,328
3,65,1,boost.preprocess.size,173376
3,65,1,boost.preprocess.time,896
3,65,1,boost.preprocess.number,34
3,65,1,boost.preprocess.time_p,388.0
3,65,1,boost.mine.size,19168
3,65,1,boost.mine.time,49
3,65,1,prune.theta,0.100001
3,65,1,prune.includes,
3,65,1,prune.includes_diff,
3,65,1,end
