pid,bid,1,5,10
Chart,1,0.0,5014.0,0.0
Chart,6,2708.0,3319.0,0.0
Chart,15,0.0,9165.0,0.0
Chart,18,0.0,1778.0,0.0
Chart,19,3346.0,3059.0,0.0
Chart,23,0.0,3315.0,0.0
Closure,6,87280.0,90355.0,0.0
Closure,16,5602.0,11995.0,0.0
Closure,23,0.0,3432.0,0.0
Closure,128,0.0,46812.0,0.0
Lang,1,0.0,1857.0,0.0
Lang,13,0.0,3587.0,0.0
Lang,20,0.0,1725.0,0.0
Lang,36,0.0,3704.0,0.0
Lang,41,0.0,2266.0,0.0
Lang,50,0.0,2557.0,0.0
Lang,54,0.0,2006.0,0.0
Lang,63,0.0,12526.0,0.0
Math,1,0.0,1945.0,0.0
Math,4,249.0,2070.0,0.0
Math,5,0.0,2008.0,0.0
Math,6,2799.0,24167.0,0.0
Math,8,0.0,1107.0,0.0
Math,21,0.0,2972.0,0.0
Math,23,0.0,1321.0,0.0
Math,25,0.0,1251.0,0.0
Math,32,0.0,3443.0,0.0
Math,36,0.0,1138.0,0.0
Math,43,0.0,1427.0,0.0
Math,46,1202.0,2513.0,0.0
Math,52,0.0,1373.0,0.0
Math,72,0.0,1179.0,0.0
Math,73,0.0,1942.0,0.0
Math,78,0.0,1482.0,0.0
Math,95,0.0,1130.0,0.0
Math,97,0.0,1234.0,0.0
Math,104,0.0,1287.0,0.0
Mockito,1,3268.0,3893.0,0.0
Mockito,14,0.0,2968.0,0.0
Mockito,16,0.0,2189.0,0.0
Mockito,20,2953.0,2902.0,0.0
Mockito,24,2720.0,3055.0,0.0
Time,27,0.0,11526.0,0.0
