bash,1_1,5,start
bash,1_1,5,fine-grained.preprocess.size,2917756
bash,1_1,5,fine-grained.preprocess.time,280736
bash,1_1,5,fine-grained.preprocess.number,20512 
bash,1_1,5,fine-grained.preprocess.time_p,280378.0
bash,1_1,5,fine-grained.mine.size,5756
bash,1_1,5,fine-grained.mine.time,227249
bash,1_1,5,boost,0.05
bash,1_1,5,boost.functions.count,65
bash,1_1,5,boost.includes,-sampler-include-method=add_or_supercede_exported_var -sampler-include-method=array_expand_index -sampler-include-method=array_len -sampler-include-method=array_length_reference -sampler-include-method=array_to_word_list -sampler-include-method=array_value -sampler-include-method=array_value_internal -sampler-include-method=array_variable_part -sampler-include-method=assign_array_from_string -sampler-include-method=assign_array_var_from_string -sampler-include-method=assign_array_var_from_word_list -sampler-include-method=command_connect -sampler-include-method=do_array_element_assignment -sampler-include-method=do_assignment -sampler-include-method=do_assignment_internal -sampler-include-method=echo_builtin -sampler-include-method=evalexp -sampler-include-method=execute_connection -sampler-include-method=execute_pipeline -sampler-include-method=exp0 -sampler-include-method=exp1 -sampler-include-method=exp2 -sampler-include-method=exp3 -sampler-include-method=exp4 -sampler-include-method=exp5 -sampler-include-method=expand_string -sampler-include-method=expand_string_leave_quoted -sampler-include-method=expassign -sampler-include-method=expband -sampler-include-method=expbor -sampler-include-method=expbxor -sampler-include-method=expcond -sampler-include-method=expland -sampler-include-method=explor -sampler-include-method=expshift -sampler-include-method=group_member -sampler-include-method=initialize_filename_hashing -sampler-include-method=initialize_group_array -sampler-include-method=is_directory -sampler-include-method=list_string -sampler-include-method=make_command -sampler-include-method=make_var_array -sampler-include-method=make_word -sampler-include-method=make_word_flags -sampler-include-method=map_over -sampler-include-method=maybe_expand_string -sampler-include-method=maybe_make_export_env -sampler-include-method=popexp -sampler-include-method=pushexp -sampler-include-method=put_command_name_into_env -sampler-include-method=readtok -sampler-include-method=realloc -sampler-include-method=remember_filename -sampler-include-method=set_builtin -sampler-include-method=set_or_show_attributes -sampler-include-method=set_var_attribute -sampler-include-method=skip_double_quoted -sampler-include-method=skipsubscript -sampler-include-method=string_extract_verbatim -sampler-include-method=string_quote_removal -sampler-include-method=strlong -sampler-include-method=sub_append_string -sampler-include-method=subexpr -sampler-include-method=visible_and_exported -sampler-include-method=word_split
bash,1_1,5,boost.preprocess.size,1438044
bash,1_1,5,boost.preprocess.time,34782
bash,1_1,5,boost.preprocess.number,3888 
bash,1_1,5,boost.preprocess.time_p,33826.0
bash,1_1,5,boost.mine.size,5832
bash,1_1,5,boost.mine.time,25239
bash,1_1,5,theta,0.110665
bash,1_1,5,prune.functions.count,261
