grep,4_10,5,start
grep,4_10,5,fine-grained.preprocess.size,3025916
grep,4_10,5,fine-grained.preprocess.time,147054
grep,4_10,5,fine-grained.preprocess.number,2925 
grep,4_10,5,fine-grained.preprocess.time_p,146794.0
grep,4_10,5,fine-grained.mine.size,5796
grep,4_10,5,fine-grained.mine.time,2225
grep,4_10,5,boost,0.05
grep,4_10,5,boost.functions.count,8
grep,4_10,5,boost.includes,-sampler-include-method=Gcompile -sampler-include-method=compile_range -sampler-include-method=dfasyntax -sampler-include-method=error -sampler-include-method=init_syntax_once -sampler-include-method=re_compile_pattern -sampler-include-method=re_set_syntax -sampler-include-method=regex_compile
grep,4_10,5,boost.preprocess.size,1594408
grep,4_10,5,boost.preprocess.time,13224
grep,4_10,5,boost.preprocess.number,1909 
grep,4_10,5,boost.preprocess.time_p,13022.0
grep,4_10,5,boost.mine.size,5812
grep,4_10,5,boost.mine.time,1717
grep,4_10,5,theta,0.345471
grep,4_10,5,prune.functions.count,11
grep,4_10,5,prune.includes,-sampler-include-method=Gcompile -sampler-include-method=dfasyntax -sampler-include-method=error -sampler-include-method=init_syntax_once -sampler-include-method=install_matcher -sampler-include-method=main -sampler-include-method=prepend_default_options -sampler-include-method=re_compile_pattern -sampler-include-method=re_set_syntax -sampler-include-method=regex_compile -sampler-include-method=xmalloc
grep,4_10,5,prune.preprocess.size,1696120
grep,4_10,5,prune.preprocess.time,19312
grep,4_10,5,prune.preprocess.number,2799 
grep,4_10,5,prune.preprocess.time_p,19147.0
grep,4_10,5,prune.mine.size,5828
grep,4_10,5,prune.mine.time,2880
grep,4_10,5,boost.profile.time,33940
grep,4_10,5,boost.profile.size,230268
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_b.sites
grep,4_10,5,boost.profile.number,288798
grep,4_10,5,prune.profile.time,47169
grep,4_10,5,prune.profile.size,355796
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_p.sites
grep,4_10,5,prune.profile.number,447640
grep,4_10,5,prune-minus-boost.profile.time,22698
grep,4_10,5,prune-minus-boost.profile.size,129528
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v4/subv10/v4_subv10_pmb.sites
grep,4_10,5,prune-minus-boost.profile.number,163536
grep,4_10,5,end
