gzip,5_7,10,start
gzip,5_7,10,fine-grained.preprocess.size,2353160
gzip,5_7,10,fine-grained.preprocess.time,65703
gzip,5_7,10,fine-grained.preprocess.number,5585 
gzip,5_7,10,fine-grained.preprocess.time_p,65434.0
gzip,5_7,10,fine-grained.mine.size,5848
gzip,5_7,10,fine-grained.mine.time,52154
gzip,5_7,10,boost,0.05
gzip,5_7,10,boost.functions.count,4
gzip,5_7,10,boost.includes,-sampler-include-method=abort_gzip -sampler-include-method=huft_build -sampler-include-method=huft_free -sampler-include-method=inflate_codes
gzip,5_7,10,boost.preprocess.size,1193792
gzip,5_7,10,boost.preprocess.time,5839
gzip,5_7,10,boost.preprocess.number,1288 
gzip,5_7,10,boost.preprocess.time_p,5608.0
gzip,5_7,10,boost.mine.size,5868
gzip,5_7,10,boost.mine.time,9324
gzip,5_7,10,theta,0.042826
gzip,5_7,10,prune.functions.count,18
gzip,5_7,10,prune.includes,-sampler-include-method=abort_gzip -sampler-include-method=add_envopt -sampler-include-method=base_name -sampler-include-method=clear_bufs -sampler-include-method=do_exit -sampler-include-method=fill_inbuf -sampler-include-method=flush_window -sampler-include-method=get_method -sampler-include-method=huft_build -sampler-include-method=huft_free -sampler-include-method=inflate -sampler-include-method=inflate_block -sampler-include-method=inflate_codes -sampler-include-method=inflate_dynamic -sampler-include-method=main -sampler-include-method=unzip -sampler-include-method=updcrc -sampler-include-method=write_buf
gzip,5_7,10,prune.preprocess.size,1664980
gzip,5_7,10,prune.preprocess.time,18287
gzip,5_7,10,prune.preprocess.number,4687 
gzip,5_7,10,prune.preprocess.time_p,18046.0
gzip,5_7,10,prune.mine.size,5824
gzip,5_7,10,prune.mine.time,41222
gzip,5_7,10,boost.profile.time,28681
gzip,5_7,10,boost.profile.size,81793
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv7/v5_subv7_b.sites
gzip,5_7,10,boost.profile.number,387118
gzip,5_7,10,prune.profile.time,86723
gzip,5_7,10,prune.profile.size,271069
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv7/v5_subv7_p.sites
gzip,5_7,10,prune.profile.number,1290056
gzip,5_7,10,prune-minus-boost.profile.time,77971
gzip,5_7,10,prune-minus-boost.profile.size,188768
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v5/subv7/v5_subv7_pmb.sites
gzip,5_7,10,prune-minus-boost.profile.number,900202
gzip,5_7,10,end
