nanoxml,2_2,10,start
nanoxml,2_2,10,fine-grained.preprocess.size,160952
nanoxml,2_2,10,fine-grained.preprocess.time,586
nanoxml,2_2,10,fine-grained.preprocess.number,61 
nanoxml,2_2,10,fine-grained.preprocess.time_p,458.0
nanoxml,2_2,10,fine-grained.mine.size,5868
nanoxml,2_2,10,fine-grained.mine.time,1221
nanoxml,2_2,10,boost,0.05
nanoxml,2_2,10,boost.functions.count,12
nanoxml,2_2,10,boost.includes,-sampler-include-method=-Parser1_vw_v1--void-main-java.lang.String[]-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-parseDTD-java.lang.String,net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver,boolean-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processElement-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.NonValidator--void-processEntity-net.n3.nanoxml.IXMLReader,net.n3.nanoxml.IXMLEntityResolver-- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processDocType--- -sampler-include-method=-net.n3.nanoxml.StdXMLReader--java.io.Reader-openStream-java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--java.io.Reader-openExternalEntity-net.n3.nanoxml.IXMLReader,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLEntityResolver--void-addExternalEntity-java.lang.String,java.lang.String,java.lang.String-- -sampler-include-method=-net.n3.nanoxml.XMLException--void--init--java.lang.String,int,java.lang.Exception,java.lang.String,boolean-- -sampler-include-method=-net.n3.nanoxml.XMLException--void-printStackTrace--- -sampler-include-method=-net.n3.nanoxml.XMLException--void-printStackTrace-java.io.PrintStream-- -sampler-include-method=-net.n3.nanoxml.XMLUtil--java.lang.String-scanString-net.n3.nanoxml.IXMLReader,char,boolean,net.n3.nanoxml.IXMLEntityResolver--
nanoxml,2_2,10,boost.preprocess.size,71536
nanoxml,2_2,10,boost.preprocess.time,356
nanoxml,2_2,10,boost.preprocess.number,22 
nanoxml,2_2,10,boost.preprocess.time_p,262.0
nanoxml,2_2,10,boost.mine.size,5864
nanoxml,2_2,10,boost.mine.time,1293
nanoxml,2_2,10,theta,0.261384
nanoxml,2_2,10,prune.functions.count,22
