sed,3_2,10,start
sed,3_2,10,fine-grained.preprocess.size,1559800
sed,3_2,10,fine-grained.preprocess.time,11836
sed,3_2,10,fine-grained.preprocess.number,2189 
sed,3_2,10,fine-grained.preprocess.time_p,11620.0
sed,3_2,10,fine-grained.mine.size,5844
sed,3_2,10,fine-grained.mine.time,1673
sed,3_2,10,boost,0.05
sed,3_2,10,boost.functions.count,8
sed,3_2,10,boost.includes,-sampler-include-method=alt_match_null_string_p -sampler-include-method=common_op_match_null_string_p -sampler-include-method=group_match_null_string_p -sampler-include-method=insert_op1 -sampler-include-method=main -sampler-include-method=mark_subst_opts -sampler-include-method=panic -sampler-include-method=setup_jump
sed,3_2,10,boost.preprocess.size,171300
sed,3_2,10,boost.preprocess.time,988
sed,3_2,10,boost.preprocess.number,241 
sed,3_2,10,boost.preprocess.time_p,884.0
sed,3_2,10,boost.mine.size,5796
sed,3_2,10,boost.mine.time,1355
sed,3_2,10,theta,0.008250
sed,3_2,10,prune.functions.count,54
sed,3_2,10,prune.includes,-sampler-include-method=add1_buffer -sampler-include-method=alt_match_null_string_p -sampler-include-method=check_final_program -sampler-include-method=ck_fclose -sampler-include-method=ck_fopen -sampler-include-method=ck_free -sampler-include-method=ck_fwrite -sampler-include-method=ck_malloc -sampler-include-method=ck_memdup -sampler-include-method=ck_realloc -sampler-include-method=ck_strdup -sampler-include-method=close_all_files -sampler-include-method=closedown -sampler-include-method=common_op_match_null_string_p -sampler-include-method=compile_address -sampler-include-method=compile_file -sampler-include-method=compile_program -sampler-include-method=compile_regex -sampler-include-method=do_subst -sampler-include-method=dump_append_queue -sampler-include-method=execute_program -sampler-include-method=free_buffer -sampler-include-method=group_match_null_string_p -sampler-include-method=in_nonblank -sampler-include-method=inchar -sampler-include-method=init_buffer -sampler-include-method=init_syntax_once -sampler-include-method=insert_op1 -sampler-include-method=line_init -sampler-include-method=main -sampler-include-method=map_file -sampler-include-method=mark_subst_opts -sampler-include-method=match_address_p -sampler-include-method=match_an_address_p -sampler-include-method=match_slash -sampler-include-method=new_vector -sampler-include-method=next_cmd_entry -sampler-include-method=open_next_file -sampler-include-method=output_line -sampler-include-method=panic -sampler-include-method=process_files -sampler-include-method=re_match_2_internal -sampler-include-method=re_search -sampler-include-method=re_search_2 -sampler-include-method=read_mem_line -sampler-include-method=read_pattern_space -sampler-include-method=regcomp -sampler-include-method=regex_compile -sampler-include-method=regnexec -sampler-include-method=resize_line -sampler-include-method=savchar -sampler-include-method=setup_jump -sampler-include-method=str_append -sampler-include-method=unmap_file
sed,3_2,10,prune.preprocess.size,1526888
sed,3_2,10,prune.preprocess.time,11604
sed,3_2,10,prune.preprocess.number,2161 
sed,3_2,10,prune.preprocess.time_p,11409.0
sed,3_2,10,prune.mine.size,5840
sed,3_2,10,prune.mine.time,1868
sed,3_2,10,boost.profile.time,4188
sed,3_2,10,boost.profile.size,6445
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_b.sites
sed,3_2,10,boost.profile.number,17804
sed,3_2,10,prune.profile.time,32134
sed,3_2,10,prune.profile.size,147901
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_p.sites
sed,3_2,10,prune.profile.number,402942
sed,3_2,10,prune-minus-boost.profile.time,29724
sed,3_2,10,prune-minus-boost.profile.size,16
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv2/v3_subv2_pmb.sites
sed,3_2,10,prune-minus-boost.profile.number,375226
sed,3_2,10,end
