bash,2_1,1,start
bash,2_1,1,coarse-grained.profile.time,914
bash,2_1,1,coarse-grained.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/bash/versions/v2/subv1/v2_subv1_c.sites
bash,2_1,1,coarse-grained.profile.number,0
bash,2_1,1,fine-grained.profile.time,849
bash,2_1,1,fine-grained.profile.size,4
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/bash/versions/v2/subv1/v2_subv1_f.sites
bash,2_1,1,fine-grained.profile.number,0
bash,2_1,1,fine-grained.preprocess.size,20820
bash,2_1,1,fine-grained.preprocess.number,0 
bash,2_1,1,fine-grained.preprocess.time_p,
bash,2_1,1,fine-grained.mine.size,5836
