grep,3_2,10,start
grep,3_2,10,fine-grained.preprocess.size,2256108
grep,3_2,10,fine-grained.preprocess.time,117228
grep,3_2,10,fine-grained.preprocess.number,12253 
grep,3_2,10,fine-grained.preprocess.time_p,116950.0
grep,3_2,10,fine-grained.mine.size,5828
grep,3_2,10,fine-grained.mine.time,14900
grep,3_2,10,boost,0.05
grep,3_2,10,boost.functions.count,4
grep,3_2,10,boost.includes,-sampler-include-method=fillbuf -sampler-include-method=grep -sampler-include-method=page_alloc -sampler-include-method=reset
grep,3_2,10,boost.preprocess.size,582524
grep,3_2,10,boost.preprocess.time,1781
grep,3_2,10,boost.preprocess.number,0 
grep,3_2,10,boost.preprocess.time_p,1648.0
grep,3_2,10,boost.mine.size,5796
