nanoxml,4_4,1,start
nanoxml,4_4,1,coarse-grained.profile.time,67386
nanoxml,4_4,1,coarse-grained.profile.size,960
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv4/coarse-grained/output.sites
nanoxml,4_4,1,coarse-grained.profile.number,594
nanoxml,4_4,1,fine-grained.profile.time,94123
nanoxml,4_4,1,fine-grained.profile.size,1908
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v4/subv4/fine-grained/output.sites
nanoxml,4_4,1,fine-grained.profile.number,5012
nanoxml,4_4,1,fine-grained.preprocess.size,166852
nanoxml,4_4,1,fine-grained.preprocess.time,827
nanoxml,4_4,1,fine-grained.preprocess.number,173 
nanoxml,4_4,1,fine-grained.preprocess.time_p,730.0
nanoxml,4_4,1,fine-grained.mine.size,5800
nanoxml,4_4,1,fine-grained.mine.time,1400
nanoxml,4_4,1,boost,0.05
nanoxml,4_4,1,boost.functions.count,3
nanoxml,4_4,1,boost.includes,-sampler-include-method=-net.n3.nanoxml.CDATAReader--int-read-char[],int,int-- -sampler-include-method=-net.n3.nanoxml.CDATAReader--void-close--- -sampler-include-method=-net.n3.nanoxml.StdXMLParser--void-processCDATA---
nanoxml,4_4,1,boost.preprocess.size,41244
nanoxml,4_4,1,boost.preprocess.time,316
nanoxml,4_4,1,boost.preprocess.number,4 
nanoxml,4_4,1,boost.preprocess.time_p,214.0
nanoxml,4_4,1,boost.mine.size,5872
nanoxml,4_4,1,boost.mine.time,4426
nanoxml,4_4,1,theta,0.254730
nanoxml,4_4,1,prune.functions.count,46
