space,15_-,1,start
space,15_-,1,coarse-grained.profile.time,7716
space,15_-,1,coarse-grained.profile.size,5036
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v15/v15_c.sites
space,15_-,1,coarse-grained.profile.number,136
space,15_-,1,fine-grained.profile.time,75514
space,15_-,1,fine-grained.profile.size,569040
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v15/v15_f.sites
space,15_-,1,fine-grained.profile.number,458282
space,15_-,1,fine-grained.preprocess.size,1891232
space,15_-,1,fine-grained.preprocess.time,71936
space,15_-,1,fine-grained.preprocess.number,3109 
space,15_-,1,fine-grained.preprocess.time_p,71664.0
space,15_-,1,fine-grained.mine.size,5804
space,15_-,1,fine-grained.mine.time,18417
space,15_-,1,boost,0.05
space,15_-,1,boost.functions.count,7
space,15_-,1,boost.includes,-sampler-include-method=angval -sampler-include-method=grampexc -sampler-include-method=grexcdef -sampler-include-method=grphaexc -sampler-include-method=parserro -sampler-include-method=unifamp -sampler-include-method=unifpha
space,15_-,1,boost.preprocess.size,303688
space,15_-,1,boost.preprocess.time,1366
space,15_-,1,boost.preprocess.number,140 
space,15_-,1,boost.preprocess.time_p,1217.0
space,15_-,1,boost.mine.size,5852
space,15_-,1,boost.mine.time,1520
space,15_-,1,theta,0.966977
space,15_-,1,prune.functions.count,45
space,15_-,1,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angval -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=parserro -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,15_-,1,prune.preprocess.size,1593196
space,15_-,1,prune.preprocess.time,28266
space,15_-,1,prune.preprocess.number,2365 
space,15_-,1,prune.preprocess.time_p,28065.0
space,15_-,1,prune.mine.size,5864
space,15_-,1,prune.mine.time,14659
space,15_-,1,boost.profile.time,8972
space,15_-,1,boost.profile.size,10028
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v15/v15_b.sites
space,15_-,1,boost.profile.number,6554
space,15_-,1,prune-minus-boost.profile.time,30326
space,15_-,1,prune-minus-boost.profile.size,159788
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v15/v15_pmb.sites
space,15_-,1,prune-minus-boost.profile.number,123954
space,15_-,1,end
