,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta
0,apache-ant,8_1,1,0.05,261.0,0.0,5864.0,1919.0,422.0,551880.0,1183.0,1044.0,10322.0,2270.0,718888.0,8863.0,3918.0,662275.0,0.0,5872.0,1540.0,1264.0,1414748.0,5904.0,5715.0,203588.0,38496.0,5845782.0,2926.0,573.0,700776.0,119.0,0.0,5788.0,1262.0,242.0,291092.0,800.0,677.0,7144.0,1538.0,721411.0,0.0,0.107528
1,apache-ant,8_1,5,0.05,261.0,0.0,5832.0,1501.0,424.0,551932.0,1172.0,1042.0,10322.0,2270.0,737318.0,0.0,0.0,0.0,0.0,5852.0,1172.0,1264.0,1412380.0,5871.0,5663.0,0.0,0.0,0.0,2926.0,573.0,702515.0,119.0,0.0,5804.0,1510.0,244.0,290532.0,850.0,698.0,7144.0,1538.0,719210.0,0.0,0.102658
2,apache-ant,8_1,10,0.05,261.0,0.0,5852.0,1400.0,424.0,551820.0,1210.0,1062.0,10322.0,2270.0,721958.0,0.0,0.0,0.0,0.0,5824.0,1553.0,1264.0,1413624.0,5997.0,5801.0,0.0,0.0,0.0,3108.0,613.0,707533.0,137.0,0.0,5868.0,1683.0,374.0,550796.0,1078.0,934.0,8360.0,1794.0,724243.0,0.0,0.09816699999999999
3,apache-ant,8_2,1,0.05,278.0,0.0,5868.0,2029.0,366.0,402504.0,1105.0,992.0,10186.0,2388.0,1615786.0,8863.0,4176.0,1511819.0,0.0,5804.0,10395.0,1244.0,1443716.0,7399.0,7169.0,203588.0,38836.0,8233820.0,3706.0,1196.0,1341057.0,129.0,0.0,5940.0,1603.0,397.0,451224.0,1171.0,1039.0,0.0,0.0,0.0,0.0,0.12678699999999998
4,apache-ant,8_2,5,0.05,278.0,0.0,5824.0,1646.0,365.0,399072.0,1283.0,1119.0,10186.0,2388.0,1381753.0,0.0,0.0,0.0,0.0,5832.0,1918.0,1244.0,1442748.0,7309.0,7117.0,0.0,0.0,0.0,3706.0,1196.0,1379081.0,129.0,0.0,5816.0,1703.0,403.0,451168.0,1281.0,1095.0,0.0,0.0,0.0,0.0,0.12097100000000001
5,apache-ant,8_2,10,0.05,278.0,0.0,5848.0,2030.0,356.0,377676.0,1259.0,1130.0,10186.0,2388.0,1593954.0,0.0,0.0,0.0,0.0,5792.0,1664.0,1244.0,1444028.0,7694.0,7455.0,0.0,0.0,0.0,3706.0,1196.0,1513942.0,129.0,0.0,5892.0,2304.0,406.0,451896.0,1212.0,1072.0,0.0,0.0,0.0,0.0,0.12097100000000001
6,apache-ant,8_3,1,0.05,262.0,0.0,5872.0,2442.0,452.0,553612.0,1230.0,1068.0,10192.0,2388.0,1452221.0,8863.0,4176.0,1514599.0,0.0,5848.0,1330.0,1019.0,1440880.0,5631.0,5401.0,203588.0,38836.0,6981313.0,4718.0,1196.0,1040043.0,143.0,0.0,5884.0,1300.0,508.0,553164.0,1321.0,1168.0,0.0,0.0,0.0,0.0,0.09776
7,apache-ant,8_3,5,0.05,262.0,0.0,5880.0,1124.0,459.0,552768.0,1476.0,1348.0,10192.0,2388.0,1316016.0,0.0,0.0,0.0,0.0,5856.0,1110.0,1019.0,1442336.0,5682.0,5513.0,0.0,0.0,0.0,4718.0,1196.0,1623871.0,143.0,0.0,5848.0,1292.0,512.0,552512.0,1360.0,1220.0,0.0,0.0,0.0,0.0,0.09301
8,apache-ant,8_3,10,0.05,262.0,0.0,5876.0,1188.0,451.0,552696.0,1396.0,1245.0,10192.0,2388.0,1407376.0,0.0,0.0,0.0,0.0,5788.0,1449.0,1019.0,1442848.0,5974.0,5777.0,0.0,0.0,0.0,4718.0,1196.0,1492031.0,143.0,0.0,5852.0,1656.0,513.0,552524.0,1447.0,1259.0,0.0,0.0,0.0,0.0,0.088686
9,apache-ant,8_4,1,0.05,261.0,0.0,5788.0,2206.0,373.0,514356.0,1067.0,918.0,10208.0,2196.0,714250.0,8863.0,3918.0,660885.0,0.0,5812.0,1764.0,1354.0,1415008.0,6581.0,6370.0,203540.0,38488.0,6223230.0,5384.0,1093.0,710536.0,147.0,0.0,5796.0,1938.0,571.0,570696.0,1305.0,1162.0,9164.0,1954.0,728376.0,0.0,0.103032
10,apache-ant,8_4,5,0.05,261.0,0.0,5828.0,2444.0,364.0,488100.0,1087.0,916.0,10208.0,2196.0,714810.0,0.0,0.0,0.0,0.0,5864.0,1807.0,1354.0,1416780.0,6767.0,6595.0,0.0,0.0,0.0,5384.0,1093.0,712369.0,147.0,0.0,5832.0,1405.0,568.0,570760.0,1357.0,1211.0,9164.0,1954.0,721808.0,0.0,0.095326
