name,return_iter,return_perd
apache-ant,400.0,21.33
apache-ant,423.0,22.32
apache-ant,357.0,19.69
apache-ant,363.0,19.18
bash,255.0,25.49
bash,242.0,24.45
bash,243.0,25.73
bash,203.0,21.35
bash,211.0,22.33
bash,200.0,20.95
derby,1723.0,17.98
derby,1953.0,20.12
derby,1996.0,20.89
grep,7.0,24.63
grep,21.0,43.62
grep,10.0,27.13
grep,21.0,43.97
grep,29.0,57.98
gzip,15.0,25.51
gzip,11.0,30.79
gzip,16.0,26.1
gzip,27.0,47.47
gzip,25.0,62.12
gzip,12.0,34.09
gzip,14.0,17.93
gzip,20.0,52.91
gzip,16.0,24.41
gzip,26.0,46.19
gzip,16.0,24.41
gzip,12.0,42.11
gzip,14.0,43.7
sed,58.0,77.62
sed,44.0,76.82
sed,47.0,77.93
sed,11.0,18.99
space,80.0,80.17
space,60.0,69.43
space,14.0,39.41
space,76.0,79.25
space,76.0,83.89
space,26.0,44.98
space,34.0,51.18
space,91.0,90.21
space,54.0,65.06
space,50.0,65.55
space,42.0,52.91
space,71.0,80.55
space,66.0,78.88
space,28.0,46.72
space,31.0,49.81
space,29.0,47.58
space,21.0,43.49
space,64.0,79.93
space,63.0,78.07
space,59.0,75.22
space,70.0,79.93
space,75.0,83.02
space,69.0,79.68
space,51.0,61.83
space,48.0,60.22
space,64.0,78.44
space,69.0,80.79
space,69.0,79.68
space,77.0,83.52
space,71.0,80.55
space,76.0,80.07
space,73.0,82.4
space,55.0,67.25
space,82.0,87.73
