apache-ant,8_1,10,start
apache-ant,8_1,10,boost,0.05
apache-ant,8_1,10,boost.preprocess.size,426024
apache-ant,8_1,10,boost.preprocess.time,1222
apache-ant,8_1,10,boost.preprocess.number,422
apache-ant,8_1,10,boost.preprocess.time_p,1080.0
apache-ant,8_1,10,boost.mine.size,5872
apache-ant,8_1,10,boost.mine.time,1184
apache-ant,8_1,10,theta,0.098167
apache-ant,8_1,10,prune.preprocess.size,424572
apache-ant,8_1,10,prune.preprocess.time,1027
apache-ant,8_1,10,prune.preprocess.number,373
apache-ant,8_1,10,prune.preprocess.time_p,878.0
apache-ant,8_1,10,prune.mine.size,5888
apache-ant,8_1,10,prune.mine.time,1095
apache-ant,8_1,10,coarse-grained.profile.time,1309125
apache-ant,8_1,10,coarse-grained.profile.size,4176
apache-ant,8_1,10,boost.profile.time,728070
apache-ant,8_1,10,boost.profile.size,2396
apache-ant,8_1,10,prune-minus-boost.profile.time,706627
apache-ant,8_1,10,prune-minus-boost.profile.size,1196
apache-ant,8_1,10,end
