nanoxml,3_10,1,start
nanoxml,3_10,1,fine-grained.profile.time,
nanoxml,3_10,1,fine-grained.profile.size,2856
nanoxml,3_10,1,fine-grained.preprocess.size,117484
nanoxml,3_10,1,fine-grained.preprocess.time,632
nanoxml,3_10,1,fine-grained.preprocess.number,94
nanoxml,3_10,1,fine-grained.preprocess.time_p,526.0
nanoxml,3_10,1,fine-grained.mine.size,5800
nanoxml,3_10,1,fine-grained.mine.time,1063
nanoxml,3_10,1,boost,0.05
nanoxml,3_10,1,boost.preprocess.size,59128
nanoxml,3_10,1,boost.preprocess.time,368
nanoxml,3_10,1,boost.preprocess.number,20
nanoxml,3_10,1,boost.preprocess.time_p,240.0
nanoxml,3_10,1,boost.mine.size,5844
nanoxml,3_10,1,boost.mine.time,1012
nanoxml,3_10,1,theta,0.559633
nanoxml,3_10,1,prune.preprocess.size,58588
nanoxml,3_10,1,prune.preprocess.time,347
nanoxml,3_10,1,prune.preprocess.number,9
nanoxml,3_10,1,prune.preprocess.time_p,250.0
nanoxml,3_10,1,prune.mine.size,5808
nanoxml,3_10,1,prune.mine.time,1053
nanoxml,3_10,1,coarse-grained.profile.time,
nanoxml,3_10,1,coarse-grained.profile.size,960
nanoxml,3_10,1,boost.profile.time,
nanoxml,3_10,1,boost.profile.size,960
nanoxml,3_10,1,prune-minus-boost.profile.time,
nanoxml,3_10,1,prune-minus-boost.profile.size,960
nanoxml,3_10,1,end
