sed,2_1,5,start
sed,2_1,5,fine-grained.profile.time,38577
sed,2_1,5,fine-grained.profile.size,392196
sed,2_1,5,fine-grained.preprocess.size,1425616
sed,2_1,5,fine-grained.preprocess.time,20195
sed,2_1,5,fine-grained.preprocess.number,962
sed,2_1,5,fine-grained.preprocess.time_p,20015.0
sed,2_1,5,fine-grained.mine.size,5992
sed,2_1,5,fine-grained.mine.time,1133
sed,2_1,5,boost,0.05
sed,2_1,5,boost.preprocess.size,306584
sed,2_1,5,boost.preprocess.time,1446
sed,2_1,5,boost.preprocess.number,33
sed,2_1,5,boost.preprocess.time_p,1316.0
sed,2_1,5,boost.mine.size,5836
sed,2_1,5,boost.mine.time,1022
sed,2_1,5,theta,0.000907
sed,2_1,5,prune.preprocess.size,1174560
sed,2_1,5,prune.preprocess.time,12166
sed,2_1,5,prune.preprocess.number,969
sed,2_1,5,prune.preprocess.time_p,11993.0
sed,2_1,5,prune.mine.size,5852
sed,2_1,5,prune.mine.time,1185
sed,2_1,5,coarse-grained.profile.time,2466
sed,2_1,5,coarse-grained.profile.size,1468
sed,2_1,5,boost.profile.time,4645
sed,2_1,5,boost.profile.size,18960
sed,2_1,5,prune-minus-boost.profile.time,19032
sed,2_1,5,prune-minus-boost.profile.size,165616
sed,2_1,5,end
