siena,1_2,10,start
siena,1_2,10,boost,0.05
siena,1_2,10,boost.preprocess.size,59604
siena,1_2,10,boost.preprocess.time,498
siena,1_2,10,boost.preprocess.number,21
siena,1_2,10,boost.preprocess.time_p,376.0
siena,1_2,10,boost.mine.size,5848
siena,1_2,10,boost.mine.time,1139
siena,1_2,10,theta,0.088326
siena,1_2,10,prune.preprocess.size,119608
siena,1_2,10,prune.preprocess.time,757
siena,1_2,10,prune.preprocess.number,55
siena,1_2,10,prune.preprocess.time_p,646.0
siena,1_2,10,prune.mine.size,5872
siena,1_2,10,prune.mine.time,1133
siena,1_2,10,coarse-grained.profile.time,
siena,1_2,10,coarse-grained.profile.size,2288
siena,1_2,10,boost.profile.time,
siena,1_2,10,boost.profile.size,2292
siena,1_2,10,prune-minus-boost.profile.time,
siena,1_2,10,prune-minus-boost.profile.size,4556
siena,1_2,10,end
