bash,1_4,5,start
bash,1_4,5,boost,0.05
bash,1_4,5,boost.preprocess.size,1455864
bash,1_4,5,boost.preprocess.time,8417
bash,1_4,5,boost.preprocess.number,2511
bash,1_4,5,boost.preprocess.time_p,8240.0
bash,1_4,5,boost.mine.size,5820
bash,1_4,5,boost.mine.time,1898
bash,1_4,5,theta,0.028912
bash,1_4,5,prune.preprocess.size,1749272
bash,1_4,5,prune.preprocess.time,50750
bash,1_4,5,prune.preprocess.number,9460
bash,1_4,5,prune.preprocess.time_p,50567.0
bash,1_4,5,prune.mine.size,5840
bash,1_4,5,prune.mine.time,40543
bash,1_4,5,coarse-grained.profile.time,113790
bash,1_4,5,coarse-grained.profile.size,4812
bash,1_4,5,coarse-grained.profile.number,0
bash,1_4,5,fine-grained.profile.time,195045
bash,1_4,5,fine-grained.profile.size,1017504
bash,1_4,5,fine-grained.profile.number,62250
bash,1_4,5,boost.profile.time,119316
bash,1_4,5,boost.profile.size,44480
bash,1_4,5,boost.profile.number,0
bash,1_4,5,prune-minus-boost.profile.time,147526
bash,1_4,5,prune-minus-boost.profile.size,300724
bash,1_4,5,prune-minus-boost.profile.number,41784
bash,1_4,5,end
