space,35_-,5,start
space,35_-,5,fine-grained.preprocess.size,1915456
space,35_-,5,fine-grained.preprocess.time,96087
space,35_-,5,fine-grained.preprocess.number,3948 
space,35_-,5,fine-grained.preprocess.time_p,95836.0
space,35_-,5,fine-grained.mine.size,5848
space,35_-,5,fine-grained.mine.time,51224
space,35_-,5,boost,0.05
space,35_-,5,boost.functions.count,5
space,35_-,5,boost.includes,-sampler-include-method=fixnodor -sampler-include-method=mksnode -sampler-include-method=nodorien -sampler-include-method=secoramp -sampler-include-method=sgramp2n
space,35_-,5,boost.preprocess.size,314416
space,35_-,5,boost.preprocess.time,1615
space,35_-,5,boost.preprocess.number,239 
space,35_-,5,boost.preprocess.time_p,1509.0
space,35_-,5,boost.mine.size,5816
space,35_-,5,boost.mine.time,2267
space,35_-,5,theta,0.201135
space,35_-,5,prune.functions.count,62
space,35_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=circspec -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=hexgrdef -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recgrdef -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=secoramp -sampler-include-method=secorpha -sampler-include-method=sgramp2n -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,35_-,5,prune.preprocess.size,1695856
space,35_-,5,prune.preprocess.time,49630
space,35_-,5,prune.preprocess.number,3434 
space,35_-,5,prune.preprocess.time_p,49395.0
space,35_-,5,prune.mine.size,5792
space,35_-,5,prune.mine.time,46937
space,35_-,5,boost.profile.time,13671
space,35_-,5,boost.profile.size,15024
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_b.sites
space,35_-,5,boost.profile.number,9082
space,35_-,5,prune-minus-boost.profile.time,45801
space,35_-,5,prune-minus-boost.profile.size,253900
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v35/v35_pmb.sites
space,35_-,5,prune-minus-boost.profile.number,200020
space,35_-,5,end
