,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta
0,apache-ant,8_2,1,0.05,278.0,0.0,5868.0,2029.0,366.0,402504.0,1105.0,992.0,10186.0,2388.0,1615786.0,8863.0,4176.0,1511819.0,0.0,5804.0,10395.0,1244.0,1443716.0,7399.0,7169.0,203588.0,38836.0,8233820.0,3706.0,1196.0,1341057.0,129.0,0.0,5940.0,1603.0,397.0,451224.0,1171.0,1039.0,0.0,0.126787
1,apache-ant,8_2,5,0.05,278.0,0.0,5824.0,1646.0,365.0,399072.0,1283.0,1119.0,10186.0,2388.0,1381753.0,0.0,0.0,0.0,0.0,5832.0,1918.0,1244.0,1442748.0,7309.0,7117.0,0.0,0.0,0.0,3706.0,1196.0,1379081.0,129.0,0.0,5816.0,1703.0,403.0,451168.0,1281.0,0.0,0.0,0.120971
2,apache-ant,8_2,10,0.05,278.0,0.0,5848.0,2030.0,356.0,377676.0,1259.0,1130.0,10186.0,2388.0,1593954.0,0.0,0.0,0.0,0.0,5792.0,1664.0,1244.0,1444028.0,7694.0,7455.0,0.0,0.0,0.0,3706.0,1196.0,1513942.0,129.0,0.0,5892.0,2304.0,406.0,451896.0,1212.0,0.0,0.0,0.120971
3,apache-ant,8_3,1,0.05,262.0,0.0,5872.0,2442.0,452.0,553612.0,1230.0,1068.0,10192.0,2388.0,1452221.0,8863.0,4176.0,1514599.0,0.0,5848.0,1330.0,1019.0,1440880.0,5631.0,5401.0,203588.0,38836.0,6981313.0,4718.0,1196.0,1040043.0,143.0,0.0,5884.0,1300.0,508.0,553164.0,1321.0,1168.0,0.0,0.09776
4,apache-ant,8_3,5,0.05,262.0,0.0,5880.0,1124.0,459.0,552768.0,1476.0,1348.0,10192.0,2388.0,1316016.0,0.0,0.0,0.0,0.0,5856.0,1110.0,1019.0,1442336.0,5682.0,5513.0,0.0,0.0,0.0,4718.0,1196.0,1623871.0,143.0,0.0,5848.0,1292.0,512.0,552512.0,1360.0,0.0,0.0,0.09301
5,apache-ant,8_3,10,0.05,262.0,0.0,5876.0,1188.0,451.0,552696.0,1396.0,1245.0,10192.0,2388.0,1407376.0,0.0,0.0,0.0,0.0,5788.0,1449.0,1019.0,1442848.0,5974.0,5777.0,0.0,0.0,0.0,4718.0,1196.0,1492031.0,143.0,0.0,5852.0,1656.0,513.0,552524.0,1447.0,0.0,0.0,0.088686
6,bash,1_1,1,0.05,65.0,0.0,5952.0,3696.0,3887.0,1454432.0,10392.0,10211.0,127752.0,40852.0,117543.0,1458.0,4812.0,113286.0,0.0,5772.0,197026.0,20513.0,2453240.0,284970.0,284726.0,3395944.0,1019056.0,211177.0,1070926.0,327348.0,153812.0,180.0,0.0,5792.0,65753.0,11625.0,1928000.0,59877.0,59641.0,0.0,0.125094
7,bash,1_1,5,0.05,65.0,0.0,5916.0,4469.0,3888.0,1453544.0,10217.0,10029.0,127752.0,40852.0,118029.0,0.0,0.0,0.0,0.0,5764.0,197177.0,20513.0,2702028.0,393751.0,393471.0,0.0,0.0,0.0,1165002.0,355480.0,157544.0,261.0,0.0,5796.0,163782.0,16748.0,1811720.0,129779.0,129543.0,0.0,0.110665
8,bash,1_1,10,0.05,65.0,0.0,5872.0,6532.0,3888.0,1454380.0,9861.0,9653.0,127752.0,40852.0,118157.0,0.0,0.0,0.0,0.0,5772.0,209870.0,20513.0,2574744.0,238685.0,238397.0,0.0,0.0,0.0,1165002.0,355480.0,156850.0,261.0,0.0,5884.0,165668.0,16750.0,1923420.0,160880.0,0.0,0.0,0.104993
9,bash,1_2,1,0.05,59.0,0.0,5824.0,2577.0,2833.0,1449332.0,8888.0,8609.0,128606.0,40880.0,117910.0,1458.0,4812.0,114921.0,0.0,5820.0,17066.0,8930.0,2619704.0,120854.0,120537.0,3395944.0,1019068.0,217720.0,1018944.0,311732.0,152003.0,203.0,0.0,5792.0,15596.0,7198.0,1724864.0,45566.0,45354.0,0.0,0.075491
