,pid,bid,top-k,boost,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.size,boost.profile.time,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta,percent3_1_0,percent3_1,percent3_2_0,percent3_2
0,apache-ant,8_1,1,0.05,5812,1076,423,427276,1206,1049,2396,717395,4176,650123,0,5848,1166,1263,1098068,5810,5614,38836,5705196,600,787865,5880,1177,245,234460,798,686,0,0.107528,1735,0.309048807,427276,0.389116157
1,apache-ant,8_1,5,0.05,5840,1249,421,427700,1225,1049,2396,717821,4176,1309125,0,0,0,0,0,0,5614,0,0,600,702244,5844,1163,242,235112,864,719,0,0.102658,1768,0.314926968,427700,inf
2,apache-ant,8_1,10,0.05,5872,1184,422,426024,1222,1049,2396,728070,4176,1309125,0,0,0,0,0,0,5614,0,0,1196,706627,5888,1095,373,424572,1027,878,0,0.098167,1927,0.34324902,426024,inf
3,bash,1_4,1,0.05,5872,1900,2508,1087312,8796,8603,44480,117441,4812,112570,0,5864,49521,13433,2480964,138162,137859,1017504,205930,300724,148944,5876,43947,9452,1374200,59624,59413,0,0.041595,68016,0.493373664,1374200,0.553897598
4,bash,1_4,5,0.05,5852,2084,2508,1086368,9652,8603,44480,117492,4812,112570,0,0,0,0,0,0,137859,0,0,300724,148869,5812,44064,9467,1382220,58895,58682,0,0.028912,67285,0.488071145,1382220,inf
5,bash,1_4,10,0.05,5860,2084,2508,1087356,8643,8603,44480,117588,4812,112570,0,0,0,0,0,0,137859,0,0,300724,148684,5868,46690,9454,1375256,57703,57492,0,0.028353,66095,0.479439137,1375256,inf
6,grep,1_8,1,0.05,5836,1221,241,679528,2225,2077,27988,8781,3268,4986,0,5936,25498,3065,1710396,51557,51331,877704,91731,280664,37101,5844,25056,2968,1316780,28466,28305,0,0.01897,30382,0.591884047,1316780,0.769868498
7,grep,1_8,5,0.05,5868,1142,241,681800,2232,2077,27988,8443,3268,4884,0,5840,26033,3066,1738488,51372,51331,877704,92532,280664,34757,5800,23914,2967,1317668,28397,28213,0,0.013774,30290,0.590091757,1317668,0.757939083
8,grep,1_8,10,0.05,5808,1233,241,682000,2236,2077,27988,8969,3268,5045,0,5896,29013,3067,1713864,51645,51331,877704,90065,280664,37593,5900,26077,2966,1319032,28321,28134,0,0.008204,30211,0.588552726,1319032,0.769624661
9,grep,4_10,1,0.05,5844,1031,1895,1606640,16276,16097,232936,0,3272,0,0,5808,1904,2911,2956664,96410,96118,2063600,0,132712,0,5872,1457,2795,1670204,19734,19533,0,0.376762,35630,0.370690193,1670204,0.56489476
10,grep,4_10,5,0.05,5804,1038,1892,1608500,16312,16097,232936,0,3272,0,0,0,0,0,0,0,96118,0,0,132712,0,5896,1543,2823,1657196,20382,20209,0,0.345471,36306,0.377723215,1657196,inf
11,grep,4_10,10,0.05,5848,1142,1888,1597140,14863,16097,232936,0,3272,0,0,0,0,0,0,0,96118,0,0,132712,0,5952,1513,2808,1653104,20330,20140,0,0.341078,36237,0.377005348,1653104,inf
12,gzip,1_4,1,0.05,5848,2259,3466,743616,3325,3194,43140,0,864,0,0,5896,524375,30766,2747424,74048,73662,759776,0,313296,0,5828,520585,30542,1857052,47096,46876,0,0.230985,50070,0.679726318,1857052,0.675924794
13,gzip,1_4,5,0.05,5896,2352,3466,742180,3157,3194,43140,0,864,0,0,0,0,0,0,0,73662,0,0,313296,0,5900,513585,30542,1919904,54331,54107,0,0.155867,57301,0.777890907,1919904,inf
14,gzip,1_4,10,0.05,5920,2543,3466,742648,3271,3194,43140,0,864,0,0,0,0,0,0,0,73662,0,0,313296,0,5916,515700,30542,1852120,52146,51934,0,0.147232,55128,0.748391301,1852120,inf
15,gzip,1_5,1,0.05,5856,1310,835,733632,2672,2529,39204,0,864,0,0,5804,1422,1419,2248816,39556,39308,756012,0,51984,0,5808,1201,1135,1147308,6264,6125,0,0.384737,8654,0.220158746,1147308,0.510183136
