subject,top 1,top 5,top 10,top1-num,top5-num,top10-num
Lang,1.06,1.13,1.13,894.1690921,942.0953238,943.436381
Chart,0.59,0.74,0.77,3215.725656,4019.30032,4316.15788
Math,1.2,1.31,1.31,11538.73004,12409.80831,12424.9894
Time,5.92,7.47,7.5,5629.7946,6939.893222,6973.134096
Mockito,13.7,14.34,14.56,1161.131438,1235.627546,1257.982243
Closure,7.69,8.17,8.35,15080.51078,15948.85705,16288.57163
apache-ant,11.46,14.54,14.54,23329.3848,29604.9849,29604.9849
bash,30.99,30.99,30.99,287778.1519,287778.1519,287778.1519
derby,15.92,20.69,22.15,221330.4648,287585.9664,307879.468
grep,27.91,36.07,36.08,63560.5436,82697.17592,82713.8508
gzip,32.06,32.2,35.5,54734.31415,59030.52666,64697.01065
nanoxml,36.37,50.48,50.67,1812.728345,2595.631973,2605.155536
sed,40.5,48.87,60.56,40061.47785,48290.5794,61142.4488
siena,20,31.43,31.43,3892,6116.278,6116.278
space,45.3,49.2,51.98,11525.52786,12517.78564,13226.12917
