name,predicates,top-1,top-5,top-10,top1-num,top5-num,top10-num,subject
v1_subv1,114170,1.17,1.17,1.17,1335.789,1335.789,1335.789,1
v1_subv10,90304,1.46,1.46,1.46,1318.4384,1318.4384,1318.4384,1
v1_subv11,89794,0.59,0.59,0.59,529.7846,529.7846,529.7846,1
v1_subv12,89758,0.55,0.56,0.56,493.669,502.6448,502.6448,1
v1_subv13,89816,0.01,0.01,0.01,8.9816,8.9816,8.9816,1
v1_subv14,88486,0.01,0.01,0.01,8.8486,8.8486,8.8486,1
v1_subv15,88326,6.12,6.12,6.12,5405.5512,5405.5512,5405.5512,1
v1_subv16,88722,1.28,1.28,1.28,1135.6416,1135.6416,1135.6416,1
v1_subv17,84644,0.64,0.64,0.64,541.7216,541.7216,541.7216,1
v1_subv18,84606,2.32,2.32,2.32,1962.8592,1962.8592,1962.8592,1
v1_subv19,84442,0.86,0.86,0.86,726.2012,726.2012,726.2012,1
v1_subv2,114416,0.12,0.12,0.12,137.2992,137.2992,137.2992,1
v1_subv20,84554,0.35,0.35,0.35,295.939,295.939,295.939,1
v1_subv21,81942,0.13,0.13,0.13,106.5246,106.5246,106.5246,1
v1_subv22,81936,1.73,1.73,1.73,1417.4928,1417.4928,1417.4928,1
v1_subv23,81790,0.94,0.94,0.94,768.826,768.826,768.826,1
v1_subv24,81714,2.94,2.94,2.94,2402.3916,2402.3916,2402.3916,1
v1_subv26,80436,0.85,0.85,0.85,683.706,683.706,683.706,1
v1_subv27,80394,3.91,3.91,3.91,3143.4054,3143.4054,3143.4054,1
v1_subv28,78588,0.69,0.69,0.69,542.2572,542.2572,542.2572,1
v1_subv29,78546,0.43,0.43,0.43,337.7478,337.7478,337.7478,1
v1_subv3,114294,1.13,1.13,1.13,1291.5222,1291.5222,1291.5222,1
v1_subv30,77282,0.69,0.94,0.94,533.2458,726.4508,726.4508,1
v1_subv31,77060,0.17,0.17,0.17,131.002,131.002,131.002,1
v1_subv32,76846,0.74,0.74,0.74,568.6604,568.6604,568.6604,1
v1_subv33,76814,0.08,0.08,0.08,61.4512,61.4512,61.4512,1
v1_subv34,76806,1.13,1.14,1.25,867.9078,875.5884,960.075,1
v1_subv35,76128,0.03,0.03,0.03,22.8384,22.8384,22.8384,1
v1_subv36,75870,1.49,5.08,5.08,1130.463,3854.196,3854.196,1
v1_subv37,75862,0.12,0.12,0.12,91.0344,91.0344,91.0344,1
v1_subv38,75822,1.16,1.16,1.16,879.5352,879.5352,879.5352,1
v1_subv39,75372,3.66,3.66,3.66,2758.6152,2758.6152,2758.6152,1
v1_subv4,114316,0.31,0.31,0.31,354.3796,354.3796,354.3796,1
v1_subv40,78608,0.03,0.03,0.03,23.5824,23.5824,23.5824,1
v1_subv41,78258,0.13,0.13,0.13,101.7354,101.7354,101.7354,1
v1_subv42,84824,0.44,0.44,0.44,373.2256,373.2256,373.2256,1
v1_subv43,84824,0.5,0.5,0.5,424.12,424.12,424.12,1
v1_subv44,84704,1.22,1.22,1.22,1033.3888,1033.3888,1033.3888,1
v1_subv45,84612,0.11,0.11,0.11,93.0732,93.0732,93.0732,1
v1_subv46,83738,0.07,0.07,0.07,58.6166,58.6166,58.6166,1
v1_subv47,84018,0.97,0.97,0.97,814.9746,814.9746,814.9746,1
v1_subv48,80432,0.38,0.38,0.38,305.6416,305.6416,305.6416,1
v1_subv49,79436,1.53,1.53,1.53,1215.3708,1215.3708,1215.3708,1
v1_subv5,113706,0.09,0.09,0.09,102.3354,102.3354,102.3354,1
v1_subv50,77962,0.8,0.91,0.91,623.696,709.4542,709.4542,1
v1_subv51,76846,0.27,0.27,0.27,207.4842,207.4842,207.4842,1
v1_subv52,76846,0.07,0.07,0.07,53.7922,53.7922,53.7922,1
v1_subv53,76758,2.57,2.57,2.57,1972.6806,1972.6806,1972.6806,1
v1_subv54,76524,0.1,0.1,0.1,76.524,76.524,76.524,1
v1_subv55,76516,0.16,0.16,0.16,122.4256,122.4256,122.4256,1
v1_subv56,77084,0.52,0.52,0.52,400.8368,400.8368,400.8368,1
v1_subv58,77130,1.45,1.45,1.45,1118.385,1118.385,1118.385,1
v1_subv59,77132,0.54,0.54,0.54,416.5128,416.5128,416.5128,1
v1_subv6,113386,0.58,0.58,0.58,657.6388,657.6388,657.6388,1
v1_subv60,77094,1.08,1.08,1.08,832.6152,832.6152,832.6152,1
v1_subv61,77016,1.02,1.02,1.02,785.5632,785.5632,785.5632,1
v1_subv62,76916,0.93,0.93,0.93,715.3188,715.3188,715.3188,1
v1_subv63,76444,6.05,6.05,6.05,4624.862,4624.862,4624.862,1
v1_subv64,76204,0.19,0.19,0.19,144.7876,144.7876,144.7876,1
v1_subv65,75146,1.81,1.81,1.81,1360.1426,1360.1426,1360.1426,1
v1_subv7,113538,3.13,3.13,3.13,3553.7394,3553.7394,3553.7394,1
v1_subv8,89960,1.44,1.44,1.44,1295.424,1295.424,1295.424,1
v1_subv9,90264,0.92,0.92,0.92,830.4288,830.4288,830.4288,1
v2_subv1,620460,0.51,0.51,0.51,3164.346,3164.346,3164.346,2
v2_subv11,551086,0.05,0.05,0.05,275.543,275.543,275.543,2
v2_subv12,551086,0.04,0.04,0.04,220.4344,220.4344,220.4344,2
v2_subv13,550772,1.04,1.04,1.04,5728.0288,5728.0288,5728.0288,2
v2_subv14,550716,0.09,0.09,0.09,495.6444,495.6444,495.6444,2
v2_subv15,549320,2.4,2.4,2.4,13183.68,13183.68,13183.68,2
v2_subv16,549246,0.02,0.05,0.05,109.8492,274.623,274.623,2
v2_subv17,546850,0.08,0.08,0.08,437.48,437.48,437.48,2
v2_subv18,546840,0.01,0.03,0.03,54.684,164.052,164.052,2
v2_subv19,544924,0.3,0.3,0.3,1634.772,1634.772,1634.772,2
v2_subv2,620334,0.04,0.15,0.15,248.1336,930.501,930.501,2
v2_subv20,541962,0,0,0,0,0,0,2
v2_subv21,541418,0.07,0.07,0.07,378.9926,378.9926,378.9926,2
v2_subv22,541234,0.02,0.03,0.03,108.2468,162.3702,162.3702,2
v2_subv23,539932,0.27,0.27,0.27,1457.8164,1457.8164,1457.8164,2
v2_subv24,538886,0.06,0.06,0.06,323.3316,323.3316,323.3316,2
v2_subv25,538720,5.57,7.09,7.09,30006.704,38195.248,38195.248,2
v2_subv26,528650,2.97,5.03,5.72,15700.905,26591.095,30238.78,2
v2_subv3,620208,0.08,0.08,0.08,496.1664,496.1664,496.1664,2
v2_subv4,608670,0.42,0.42,1.04,2556.414,2556.414,6330.168,2
v2_subv5,579330,0.03,0.03,0.03,173.799,173.799,173.799,2
v2_subv6,551466,0.2,0.2,0.2,1102.932,1102.932,1102.932,2
v2_subv7,551154,0.16,0.16,0.16,881.8464,881.8464,881.8464,2
v2_subv8,551154,0.03,0.03,0.03,165.3462,165.3462,165.3462,2
v2_subv9,551128,0.27,0.27,0.27,1488.0456,1488.0456,1488.0456,2
v3_subv1,1329686,0.02,0.32,0.32,265.9372,4254.9952,4254.9952,3
v3_subv10,1260192,1.2,1.2,1.2,15122.304,15122.304,15122.304,3
v3_subv100,288342,2.12,2.12,2.12,6112.8504,6112.8504,6112.8504,3
v3_subv101,288232,0.09,0.09,0.09,259.4088,259.4088,259.4088,3
v3_subv102,286124,0.78,2,2,2231.7672,5722.48,5722.48,3
v3_subv103,284264,0.73,0.73,0.73,2075.1272,2075.1272,2075.1272,3
v3_subv104,283058,1.86,1.86,1.86,5264.8788,5264.8788,5264.8788,3
