行标签	平均值项:outputs	平均值项:s1	平均值项:s100	平均值项:s10000	平均值项:cg	平均值项:iterative
Lang	1	130.12	7.78	5.58	4.69	1.44
Chart	1	184.05	19.84	16.55	27.99	1.19
Math	1	756.2	79.47	33.39	30.33	11.03
Time	1	140.21	15.08	11.23	28.48	1.28
Mockito	1	5.8	5.48	5.37	8.65	1.23
Closure	1	5.66	3.64	3.41	7.69	1.19
apache-ant	1	6.06	1.28	0.69	1.03	
bash	1	0.01	0.01	0.01	1.01	
derby	1	5.73	2.09	1.6	1.13	
grep	1	11.82	8.66	7.92	1.14	
gzip	1	3.56	2.49	2.33	1.05	
nanoxml	1	1.63	1.45	1.43	2.23	
sed	1	4.89	3.76	3.53	1.22	
space	1	1.78	1.76	1.69	1.13	
siena	1	1.02	1.26	1.1	1.41	
