name,top-1,top-5,top-10
apache-ant,15.0,15.0,15.0
apache-ant,8.74,15.56,15.56
apache-ant,8.39,13.9,13.9
apache-ant,13.71,13.71,13.71
bash,33.36,33.36,33.36
bash,32.55,32.55,32.55
bash,31.87,31.87,31.87
bash,29.13,29.13,29.13
bash,30.09,30.09,30.09
bash,28.95,28.95,28.95
derby,17.17,18.59,18.65
derby,17.39,19.69,21.51
derby,13.21,23.79,26.29
grep,31.16,31.16,31.2
grep,36.2,36.25,36.25
grep,29.32,29.36,29.36
grep,35.9,35.94,35.94
grep,6.96,47.63,47.63
gzip,10.71,10.85,46.63
gzip,13.7,13.99,13.99
gzip,47.5,47.5,47.5
gzip,44.17,44.17,44.17
gzip,42.63,42.63,42.63
gzip,31.23,31.23,32.43
gzip,34.5,35.5,35.5
gzip,30.99,30.99,30.99
gzip,42.1,42.1,42.1
gzip,46.45,46.45,47.31
gzip,40.58,41.24,41.24
gzip,14.47,15.2,19.21
gzip,16.7,16.7,17.83
sed,8.1,8.1,54.88
sed,89.1,91.01,91.01
sed,61.23,92.79,92.79
sed,3.56,3.56,3.56
space,45.35,62.17,62.17
space,43.98,49.28,58.06
space,11.9,11.9,11.9
space,53.1,58.35,61.25
space,75.32,77.19,77.19
space,17.92,17.92,17.92
space,27.99,27.99,27.99
space,89.18,89.18,89.18
space,34.71,44.1,52.1
space,43.88,43.88,44.19
space,31.09,31.09,32.91
space,54.72,56.35,57.08
space,71.92,71.92,71.92
space,19.49,19.49,19.49
space,26.38,26.38,26.38
space,16.56,17.33,19.79
space,16.4,16.4,16.4
space,52.7,60.15,60.15
space,52.31,58.05,58.72
space,51.42,51.93,52.39
space,52.22,56.46,56.69
space,52.45,56.86,63.22
space,51.95,58.12,60.18
space,36.21,41.62,42.1
space,36.88,39.02,39.02
space,51.24,52.47,53.36
space,52.7,59.44,76.24
space,51.95,58.12,60.18
space,54.75,63.97,70.99
space,54.72,56.35,57.08
space,64.29,78.13,78.28
space,51.46,62.78,79.73
space,47.18,47.64,50.0
space,45.79,50.74,63.14
