name,branch_iter,branch_perd
apache-ant,513.0,22.91
apache-ant,535.0,23.5
apache-ant,453.0,20.39
apache-ant,462.0,20.69
bash,267.0,30.93
bash,256.0,29.93
bash,252.0,30.45
bash,218.0,25.32
bash,226.0,26.09
bash,215.0,25.06
derby,4799.0,44.43
derby,4800.0,44.5
derby,3676.0,35.41
grep,65.0,88.38
grep,29.0,41.26
grep,13.0,29.84
grep,29.0,41.09
grep,68.0,62.16
gzip,58.0,88.52
gzip,10.0,22.83
gzip,33.0,44.59
gzip,42.0,46.03
gzip,26.0,46.49
gzip,21.0,42.86
gzip,45.0,50.4
gzip,25.0,43.82
gzip,45.0,53.58
gzip,44.0,51.08
gzip,45.0,53.58
gzip,14.0,34.0
gzip,17.0,35.78
sed,94.0,87.65
sed,52.0,89.28
sed,48.0,87.44
sed,9.0,6.53
space,81.0,72.71
space,83.0,73.24
space,13.0,10.92
space,90.0,77.21
space,80.0,73.24
space,25.0,19.72
space,62.0,50.7
space,98.0,86.27
space,70.0,59.51
space,99.0,85.92
space,53.0,41.2
space,90.0,78.52
space,99.0,85.41
space,78.0,64.79
space,41.0,35.04
space,33.0,27.46
space,41.0,35.04
space,99.0,86.4
space,85.0,72.61
space,109.0,94.19
space,102.0,85.39
space,110.0,94.37
space,87.0,72.89
space,67.0,57.04
space,69.0,58.45
space,102.0,88.91
space,101.0,87.85
space,87.0,72.89
space,106.0,91.21
space,90.0,78.52
space,87.0,79.01
space,93.0,82.57
space,89.0,77.82
space,103.0,90.67
