name,scalar_iter,scalar_perd
apache-ant,199.0,12.63
apache-ant,206.0,13.1
apache-ant,178.0,11.83
apache-ant,180.0,11.64
bash,267.0,33.75
bash,257.0,32.96
bash,255.0,32.16
bash,215.0,29.54
bash,223.0,30.51
bash,212.0,29.38
derby,1231.0,18.64
derby,1466.0,21.53
derby,1613.0,24.11
grep,9.0,31.32
grep,19.0,36.17
grep,12.0,29.4
grep,19.0,35.85
grep,34.0,47.41
gzip,8.0,10.76
gzip,10.0,13.71
gzip,34.0,47.78
gzip,45.0,44.1
gzip,27.0,42.31
gzip,13.0,31.23
gzip,33.0,35.78
gzip,15.0,30.93
gzip,34.0,42.32
gzip,44.0,47.28
gzip,33.0,41.46
gzip,9.0,14.93
gzip,14.0,16.58
sed,63.0,54.12
sed,36.0,91.45
sed,40.0,93.27
sed,10.0,3.13
space,78.0,57.12
space,73.0,54.84
space,12.0,5.11
space,70.0,55.42
space,76.0,75.75
space,24.0,11.09
space,32.0,22.11
space,92.0,89.13
space,65.0,47.38
space,49.0,38.13
space,40.0,25.63
space,69.0,50.86
space,66.0,70.49
space,26.0,12.5
space,29.0,20.5
space,27.0,12.31
space,19.0,9.6
space,65.0,55.11
space,63.0,52.93
space,58.0,45.93
space,69.0,50.52
space,77.0,57.27
space,71.0,52.59
space,49.0,36.39
space,46.0,33.55
space,62.0,46.73
space,71.0,53.82
space,71.0,52.59
space,80.0,58.69
space,69.0,50.86
space,74.0,78.24
space,65.0,58.41
space,55.0,43.07
space,83.0,63.68
