name,branch_iter,branch_perd
v1_subv1,3,1.23
v1_subv10,19,1.91
v1_subv11,1,0.67
v1_subv12,2,0.62
v1_subv13,2,0.16
v1_subv14,1,0.08
v1_subv15,31,5.2
v1_subv16,9,1.53
v1_subv17,4,0.34
v1_subv18,18,1.72
v1_subv19,3,0.45
v1_subv2,1,0.5
v1_subv20,4,0.42
v1_subv21,1,0.28
v1_subv22,5,0.85
v1_subv23,9,1.08
v1_subv24,12,3.07
v1_subv25, , 
v1_subv26,9,1.13
v1_subv27,20,2.65
v1_subv28,3,0.42
v1_subv29,2,0.24
v1_subv3,4,1.29
v1_subv30,10,1.17
v1_subv31,4,0.31
v1_subv32,7,1.12
v1_subv33,1,0.09
v1_subv34,29,2.89
v1_subv35,2,0.1
v1_subv36,20,4.03
v1_subv37,1,0.06
v1_subv38,12,1.43
v1_subv39,1,0.99
v1_subv4,2,0.18
v1_subv40,2,0.15
v1_subv41,5,0.31
v1_subv42,9,0.65
v1_subv43,2,0.51
v1_subv44,2,1.16
v1_subv45,3,0.37
v1_subv46,2,0.29
v1_subv47,4,0.29
v1_subv48,1,0.41
v1_subv49,3,0.51
v1_subv5,1,0.33
v1_subv50,14,1.79
v1_subv51,1,0.93
v1_subv52,2,0.31
v1_subv53,2,0.93
v1_subv54,1,0.5
v1_subv55,4,0.28
v1_subv56,10,1.08
v1_subv57, , 
v1_subv58,6,1.58
v1_subv59,3,0.19
v1_subv6,8,0.61
v1_subv60,6,0.56
v1_subv61,6,0.59
v1_subv62,3,0.56
v1_subv63,6,1.45
v1_subv64,3,0.6
v1_subv65,2,0.54
v1_subv7,17,2.36
v1_subv8,24,2.13
v1_subv9,12,1.48
v2_subv1,33,0.69
v2_subv10, , 
v2_subv11,1,0.12
v2_subv12,20,0.54
v2_subv13,21,0.56
v2_subv14,26,0.67
v2_subv15,75,3.03
v2_subv16,6,0.2
v2_subv17,10,0.27
v2_subv18,9,0.16
v2_subv19,31,0.92
v2_subv2,16,0.48
v2_subv20,2,0.05
v2_subv21,7,0.26
v2_subv22,10,0.25
v2_subv23,17,1.01
v2_subv24,1,0.01
v2_subv25,215,9.54
v2_subv26,404,18.4
v2_subv3,12,0.27
v2_subv4,177,4.83
v2_subv5,7,0.16
v2_subv6,13,0.54
v2_subv7,8,0.22
v2_subv8,2,0.09
v2_subv9,18,0.52
v3_subv1,6,0.35
v3_subv10,12,0.62
v3_subv100,16,3.58
v3_subv101,6,0.73
v3_subv102,10,2.1
v3_subv103,6,1.09
v3_subv104,4,1.49
v3_subv105,1,0.08
v3_subv106,9,2.71
v3_subv11,43,2.34
v3_subv14,16,0.28
v3_subv19,38,1.92
v3_subv2,8,0.32
v3_subv20,92,4.25
v3_subv21,20,0.73
v3_subv22,13,0.92
v3_subv23,17,1.04
v3_subv24,16,0.98
v3_subv25,8,0.83
v3_subv26,4,0.3
v3_subv27,2,0.28
v3_subv28,39,1.59
v3_subv29,23,0.89
v3_subv3,1,0.05
v3_subv30,22,1.76
v3_subv31,42,2.76
v3_subv32,95,5.31
v3_subv33,42,1.74
v3_subv34,4,0.11
v3_subv35,2,0.04
v3_subv36,2,0.07
v3_subv37,12,0.76
v3_subv38,14,2.78
v3_subv4,16,0.85
v3_subv40,13,0.73
v3_subv42,41,1.68
v3_subv43,19,0.97
v3_subv45,4,0.19
v3_subv46,13,1.39
v3_subv47,13,1.36
v3_subv48,21,1.01
v3_subv49,21,0.87
v3_subv5,3,0.17
v3_subv50,18,0.91
v3_subv52,1,0.11
v3_subv53,2,0.1
v3_subv57,6,0.33
v3_subv58,31,3.35
v3_subv6,177,8.14
v3_subv60,24,2.02
v3_subv61,3,0.05
v3_subv65,25,3.2
v3_subv66,19,1.72
v3_subv67,6,0.95
v3_subv68,10,2.39
v3_subv69,24,1.59
v3_subv7,54,3.13
v3_subv70,2,0.09
v3_subv71,26,3.52
v3_subv72,6,0.73
v3_subv73,6,0.71
v3_subv75,6,0.34
