name,branch_iter,branch_perd,scalar_iter,scalar_perd,return_iter,return_perd
v1_subv1,3.0,1.23,2.0,1.09,2.0,1.73
v1_subv2,1.0,0.5, , ,2.0,0.82
v1_subv3,4.0,1.29,3.0,1.03,3.0,1.84
v1_subv4,2.0,0.18,2.0,0.34,2.0,0.14
v1_subv5,1.0,0.33, , ,2.0,0.59
v1_subv6,8.0,0.61,6.0,0.57,5.0,0.64
v1_subv7,17.0,2.36,7.0,2.99,15.0,4.76
v1_subv8,24.0,2.13,17.0,1.06,21.0,3.19
v1_subv9,12.0,1.48,8.0,0.68,13.0,2.0
v1_subv10,19.0,1.91,15.0,1.2,21.0,2.69
v1_subv11,1.0,0.67,1.0,0.63, , 
v1_subv12,2.0,0.62,2.0,0.6,1.0,0.3
v1_subv15,31.0,5.2,20.0,5.99,29.0,7.5
v1_subv17,4.0,0.34,4.0,0.69,4.0,0.54
