Subject,versions,LoC,Functions,Predicates,Tests,Language
Lang,1,21783,2551,21681,174,Java
Lang,2,21752,2548,21718,15,Java
Lang,3,21717,2544,21693,173,Java
Lang,4,21689,2541,21698,138,Java
Lang,5,21553,2530,21573,14,Java
Lang,6,21485,2519,21517,143,Java
Lang,7,21499,2518,21553,167,Java
Lang,8,20367,2452,17468,155,Java
Lang,9,20437,2458,17522,166,Java
Lang,10,20446,2458,17530,164,Java
Lang,11,20346,2437,17437,12,Java
Lang,12,20339,2437,17429,11,Java
Lang,13,20228,2447,17444,209,Java
Lang,14,19634,2372,17191,835,Java
Lang,15,19515,2350,17159,11,Java
Lang,16,19877,2400,17265,165,Java
Lang,17,19003,2301,16472,46,Java
Lang,18,19001,2301,16465,94,Java
Lang,19,18974,2293,16433,33,Java
Lang,20,18971,2293,16453,586,Java
Lang,21,18859,2258,16007,117,Java
Lang,22,18874,2259,16010,26,Java
Lang,23,18806,2255,15979,9,Java
Lang,24,18781,2252,15963,111,Java
Lang,25,18779,2252,15963,33,Java
Lang,26,18456,2226,15702,94,Java
Lang,27,18386,2217,15691,111,Java
Lang,28,17810,2175,15298,21,Java
Lang,29,17798,2174,15289,637,Java
Lang,30,17626,2147,15053,583,Java
Lang,31,17595,2143,15010,572,Java
Lang,32,17305,2095,14951,46,Java
Lang,33,17306,2095,14945,256,Java
Lang,34,17314,2095,14943,345,Java
Lang,35,17082,2060,14784,796,Java
Lang,36,17076,2048,14747,111,Java
Lang,37,17062,2048,14745,658,Java
Lang,38,17052,2048,14737,60,Java
Lang,39,16987,2042,14648,524,Java
Lang,40,17432,2098,15264,517,Java
Lang,41,17353,2088,15193,242,Java
Lang,42,18821,2235,16500,55,Java
Lang,43,18821,2235,16500,8,Java
Lang,44,18818,2235,16478,21,Java
Lang,45,18781,2232,16456,83,Java
Lang,46,18017,2158,16229,88,Java
Lang,47,18494,2225,16293,207,Java
Lang,48,18224,2193,15662,282,Java
Lang,49,17978,2164,15466,26,Java
Lang,50,17768,2151,15189,36,Java
Lang,51,17032,2069,14959,191,Java
Lang,52,17028,2069,14959,75,Java
Lang,53,16983,2065,14939,32,Java
Lang,54,16925,2056,14888,13,Java
Lang,55,16923,2056,14886,7,Java
Lang,56,16961,2036,15000,34,Java
Lang,57,16959,2036,15000,12,Java
Lang,58,16965,2036,15009,257,Java
Lang,59,16947,2036,15004,187,Java
Lang,60,16924,2034,14991,186,Java
Lang,61,16924,2034,14978,185,Java
Lang,62,16915,2034,14960,48,Java
Lang,63,16795,2027,14852,17,Java
Lang,64,16698,2012,14804,76,Java
Lang,65,16597,2018,14611,31,Java
Chart,1,96386,8483,111182,437,Java
Chart,2,96348,8482,111157,556,Java
Chart,3,96321,8481,111134,87,Java
Chart,4,94587,8250,109109,432,Java
Chart,5,89347,7831,103697,293,Java
Chart,6,84683,7406,98593,487,Java
Chart,7,84480,7388,98527,17,Java
Chart,8,84477,7387,98527,24,Java
Chart,9,84471,7385,98522,65,Java
Chart,10,84486,7385,98533,2,Java
Chart,11,84461,7384,98511,544,Java
Chart,12,84463,7384,98511,202,Java
Chart,13,84362,7372,98448,196,Java
Chart,14,84378,7370,98436,520,Java
Chart,15,84133,7338,98176,200,Java
Chart,16,84133,7338,98163,26,Java
Chart,17,83766,7298,97725,61,Java
Chart,18,83758,7298,97722,328,Java
Chart,19,83355,7271,97368,367,Java
Chart,20,80512,7207,96793,297,Java
Chart,21,80340,7190,96681,18,Java
Chart,22,80311,7189,96645,52,Java
Chart,23,80042,7180,96396,6,Java
Chart,24,79953,7173,96217,16,Java
Chart,25,79815,7157,96178,10,Java
Chart,26,78568,7090,94417,540,Java
Math,1,84321,7731,227907,314,Java
Math,2,83803,7654,227210,17,Java
Math,3,82751,7552,224516,2258,Java
Math,4,82492,7534,223457,53,Java
Math,5,81196,7401,220582,275,Java
Math,6,80945,7387,219532,231,Java
Math,7,80665,7355,219348,170,Java
Math,8,79955,7308,217809,23,Java
Math,9,79680,7278,217478,36,Java
Math,10,78089,6918,215862,369,Java
Math,11,77749,6889,213674,11,Java
Math,12,77747,6889,213674,706,Java
Math,13,77738,6890,213667,89,Java
Math,14,77735,6890,213666,93,Java
Math,15,70321,6294,196097,3128,Java
Math,16,70299,6294,196044,3126,Java
Math,17,68956,6140,194233,88,Java
Math,18,68688,6120,194110,27,Java
Math,19,68536,6114,193429,26,Java
Math,20,68535,6114,193427,25,Java
Math,21,67854,6046,191291,25,Java
Math,22,67820,6046,191209,99,Java
Math,23,67729,6047,191192,18,Java
Math,24,67563,6046,191277,17,Java
Math,25,66359,6014,189739,8,Java
Math,26,64719,5867,182150,214,Java
Math,27,64719,5867,182149,214,Java
Math,28,64715,5867,182120,27,Java
Math,29,63615,5772,180019,79,Java
Math,30,63608,5770,180016,4,Java
Math,31,63427,5748,180126,318,Java
Math,32,63403,5748,179704,24,Java
Math,33,62772,5720,176198,29,Java
Math,34,62733,5714,176078,25,Java
Math,35,62700,5712,176045,13,Java
Math,36,62958,5708,177821,95,Java
Math,37,63223,5763,177772,297,Java
Math,38,62806,5715,175902,20,Java
Math,39,62795,5714,175915,70,Java
Math,40,63092,5736,175771,91,Java
Math,41,63110,5740,175782,237,Java
Math,42,63108,5740,175741,28,Java
Math,43,62841,5726,172983,79,Java
Math,44,62422,5689,170660,165,Java
Math,45,61770,5546,168072,461,Java
Math,46,54102,5387,163874,200,Java
Math,47,54100,5387,163885,200,Java
Math,48,54136,5388,163839,37,Java
Math,49,54344,5350,164391,36,Java
Math,50,54356,5349,164487,37,Java
Math,51,54300,5347,164362,37,Java
Math,52,52116,5332,158394,29,Java
Math,53,50310,5260,150934,180,Java
Math,54,45428,4608,144018,64,Java
Math,55,45067,4573,142920,89,Java
Math,56,45075,4573,142941,6,Java
Math,57,45116,4619,142382,5,Java
Math,58,44868,4570,141779,9,Java
Math,59,44065,4509,137583,1727,Java
Math,60,43610,4442,136618,27,Java
Math,61,46846,4719,141244,13,Java
Math,62,46945,4714,141252,3,Java
Math,63,43928,4530,127813,908,Java
Math,64,42153,4465,115913,58,Java
Math,65,42044,4455,115934,78,Java
Math,66,41728,4417,115262,11,Java
Math,67,41316,4383,114203,3,Java
Math,68,40752,4237,113535,45,Java
Math,69,40756,4237,113536,18,Java
Math,70,40762,4236,113540,17,Java
Math,71,39987,4187,111407,117,Java
Math,72,38822,4054,107818,215,Java
Math,73,38818,4054,107798,215,Java
Math,74,39601,4049,114877,57,Java
Math,75,39468,4048,114895,9,Java
Math,76,39462,4048,114887,18,Java
Math,77,39411,4041,114610,347,Java
Math,78,38958,3952,114715,119,Java
Math,79,38890,3952,114014,867,Java
Math,80,38849,3949,113706,37,Java
Math,81,38848,3949,113694,36,Java
Math,82,38258,3908,112435,15,Java
Math,83,38257,3908,112432,18,Java
Math,84,38239,3905,112423,6,Java
Math,85,37907,3862,110766,93,Java
Math,86,36139,3661,106728,13,Java
Math,87,36141,3661,106722,17,Java
Math,88,36120,3660,106991,16,Java
Math,89,30907,3028,91874,8,Java
Math,90,30904,3027,91874,8,Java
Math,91,29991,2994,90756,63,Java
Math,92,25428,2508,82864,548,Java
Math,93,25290,2503,81879,547,Java
Math,94,25038,2486,81148,547,Java
Math,95,19938,2019,57545,24,Java
Math,96,19515,1980,56453,172,Java
Math,97,16829,1730,49789,130,Java
Math,98,16729,1729,49786,134,Java
Math,99,27148,2704,85300,561,Java
Math,100,16493,-2,-6,0,Java
Math,101,16486,-2,-6,0,Java
Math,102,15797,-2,-6,0,Java
Math,103,15385,-2,-6,0,Java
Math,104,15301,-2,-6,0,Java
Math,105,9933,-2,-6,0,Java
Math,106,9475,-2,-6,0,Java
Time,1,27799,4002,17875,4012,Java
Time,2,27793,4002,17875,4012,Java
Time,3,27771,4002,17844,1308,Java
Time,4,27771,4002,17844,771,Java
Time,5,27662,3987,17650,1951,Java
Time,6,27587,3982,17617,2664,Java
Time,7,27418,3880,17611,2704,Java
Time,8,27351,3878,17571,3951,Java
Time,9,27344,3878,17565,3951,Java
Time,10,27344,3878,17565,372,Java
Time,11,27333,3874,17553,9,Java
Time,12,27277,3870,17486,1675,Java
Time,13,27266,3870,17444,973,Java
Time,14,27219,3864,17398,3878,Java
Time,15,27216,3864,17397,3641,Java
Time,16,27218,3864,17398,2597,Java
Time,17,27189,3862,17276,3866,Java
Time,18,27175,3863,17269,2547,Java
Time,19,27160,3861,17263,3854,Java
Time,20,27154,3861,17258,2578,Java
Time,21,27144,3861,17239,3849,Java
Time,22,26880,3810,17169,1876,Java
Time,23,26875,3809,17169,3811,Java
Time,24,26853,3806,17125,1039,Java
Time,25,26800,3799,17101,3793,Java
Time,26,26790,3798,17103,3789,Java
Time,27,26593,3768,17082,740,Java
Mockito,1,10521,1644,2445,1,Java
Mockito,2,11002,1613,2411,1,Java
Mockito,3,10516,1642,2455,1,Java
Mockito,4,10955,1609,2407,1,Java
Mockito,5,10906,1603,2380,1,Java
Mockito,6,10907,1602,2380,1,Java
Mockito,7,10905,1602,2380,1,Java
Mockito,8,10905,1602,2379,1,Java
Mockito,9,10745,1581,2354,1,Java
Mockito,10,10569,1557,2312,1,Java
Mockito,11,10476,1539,2292,1,Java
Mockito,12,7288,1059,1695,1,Java
Mockito,13,7291,1057,1695,1,Java
Mockito,14,7165,1041,1674,1,Java
Mockito,15,7566,1085,1756,1,Java
Mockito,16,6376,963,1591,1,Java
Mockito,17,6368,962,1592,1,Java
Mockito,18,10522,1641,2441,1,Java
Mockito,19,10523,1641,2441,1,Java
Mockito,20,11633,1688,2482,1,Java
Mockito,21,10725,1580,2336,1,Java
Mockito,22,10502,1538,2283,1,Java
Mockito,23,10409,1519,2265,1,Java
Mockito,24,10404,1519,2264,1,Java
Mockito,25,10039,1478,2219,1,Java
Mockito,26,9510,1396,2076,1,Java
Mockito,27,8320,1215,1916,1,Java
Mockito,28,7601,1091,1764,1,Java
Mockito,29,7573,1085,1758,1,Java
