name,outputs,s1,s100,s10000,cg,iterative
v1_subv2,2431,2687,2671,2656,2687,2631
v1_subv3,2488,4351,4302,4250,3558,3409
v1_subv4,2612,9083,5102,4511,3744,4396
v1_subv5,2449,2649,2637,2602,2586,2576
v1_subv6,2586,8868,5021,4729,3754,3662
v1_subv7,2512,4197,4195,4179,3435,3355
v1_subv8,2650,44273,10961,10450,9009,6627
v1_subv9,2604,44445,10987,10387,9201,6579
v1_subv10,2600,41482,11355,10470,9337,6653
v1_subv11,2431,2636,2558,2593,2586,2590
v1_subv12,2412,2608,2535,2577,2524,2541
v1_subv13,2437,7286,6095,5900,5057,4813
v1_subv14,2426,24297,16924,16192,13483,12762
v1_subv15,2464,2758,2650,2641,2517,2530
v1_subv16,2437,4021,3949,4029,3421,3374
v1_subv17,2384,8169,3794,3680,3059,3684
v1_subv18,2390,8171,4587,4414,3940,3689
v1_subv19,2402,7587,3526,3510,2939,3336
v1_subv20,2412,22414,14382,14236,11912,11318
v1_subv21,2414,3974,3715,3724,3302,3224
v1_subv22,2425,64469,7313,3346,2648,3803
v1_subv23,2392,3714,3658,3505,3548,3463
v1_subv24,2401,3534,3509,3482,3127,3038
v1_subv26,2410,8094,4511,4437,3885,3668
v1_subv27,2379,3549,3515,3479,3084,3015
v1_subv28,2353,7366,3197,3030,2796,3131
v1_subv29,2423,9831,9656,9562,7403,6940
v1_subv30,2398,21375,14299,13957,11760,11328
v1_subv31,2435,21367,14346,13764,11733,11231
v1_subv32,2438,2905,2905,2846,2710,2665
v1_subv33,2394,5205,5061,5073,4140,3870
v1_subv34,2417,5728,5608,5594,4502,4335
v1_subv35,2430,15523,10130,9896,7460,6849
v1_subv36,2378,3561,3476,3504,3077,3012
v1_subv37,2387,14045,9132,8819,6528,6176
v1_subv38,2353,7503,4189,3985,3662,3576
v1_subv39,2420,21705,13759,13454,11504,11240
v1_subv40,2435,21315,13779,13684,11574,10988
v1_subv41,2348,5060,4941,4918,3991,3755
v1_subv42,2375,1187440,27477,15835,13249,7822
v1_subv43,2383,820732,178029,151712,135390,214651
v1_subv44,2340,2584,2617,2656,2493,2532
v1_subv45,2370,3766,3457,3341,3029,2892
v1_subv46,2471,4074,3576,3552,3221,3039
v1_subv47,2405,4509,4385,4370,3623,3499
v1_subv48,2446,0,0,0,4110,0
