pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta,inst_num,inst,percent2_1_1,percent2_1_0,percent2_1,percent2_2_0,percent2_2,percent3_1_0,percent3_1,percent3_2_0,percent3_2,percent4_1_0,percent4_1,percent4_2_0,percent4_2,max,min,drop,boost.mine.size,boost.mine.time,fine-grained.mine.size,fine-grained.mine.time,prune.mine.size,prune.mine.time
apache-ant,8_1,1,0.05,261.0,0.0,422.0,551880.0,1183.0,1044.0,10322.0,2270.0,718888.0,8863.0,3918.0,662275.0,0.0,1264.0,1414748.0,5904.0,5715.0,203588.0,38496.0,5845782.0,2926.0,573.0,700776.0,119.0,0.0,242.0,291092.0,800.0,677.0,7144.0,1538.0,721411.0,0.0,0.107528,22111.0,0.10860659763836768,698253.0,2081939.0,0.356143797356795,6761.0,0.17562863674147963,1721.0,0.30113735783027124,551880.0,0.3900906733920104,3181.0,2.0655844155844156,5864.0,0.9986376021798365,137.0,119.0,False,26128.0,47.673,35104.0,62.25,24448.0,42.092
apache-ant,8_1,5,0.05,261.0,0.0,422.0,551880.0,1183.0,1044.0,10322.0,2270.0,718888.0,8863.0,3918.0,662275.0,0.0,1264.0,1414748.0,5904.0,5715.0,203588.0,38496.0,5845782.0,2926.0,573.0,702515.0,119.0,0.0,244.0,290532.0,850.0,698.0,7144.0,1538.0,719210.0,0.0,0.102658,22111.0,0.10860659763836768,702193.0,2083678.0,0.3564412768043694,6761.0,0.17562863674147963,1742.0,0.3048118985126859,551880.0,0.3900906733920104,3429.0,2.2266233766233765,5864.0,0.9986376021798365,137.0,119.0,False,26464.0,49.91,34768.0,64.047,23744.0,43.157
apache-ant,8_1,10,0.05,261.0,0.0,422.0,551880.0,1183.0,1044.0,10322.0,2270.0,718888.0,8863.0,3918.0,662275.0,0.0,1264.0,1414748.0,5904.0,5715.0,203588.0,38496.0,5845782.0,3108.0,613.0,707533.0,137.0,0.0,374.0,550796.0,1078.0,934.0,8360.0,1794.0,724243.0,0.0,0.09816699999999999,22293.0,0.10950055995441775,702178.0,2088696.0,0.35729967350818076,6801.0,0.17666770573566085,1978.0,0.34610673665791775,551880.0,0.3900906733920104,3602.0,2.338961038961039,5868.0,0.9993188010899182,137.0,119.0,False,25776.0,50.716,34704.0,65.945,25312.0,54.55
apache-ant,8_2,1,0.05,278.0,0.0,366.0,402504.0,1105.0,992.0,10186.0,2388.0,1615786.0,8863.0,4176.0,1511819.0,0.0,1244.0,1443716.0,7399.0,7169.0,203588.0,38836.0,8233820.0,3706.0,1196.0,1341057.0,129.0,0.0,397.0,451224.0,1171.0,1039.0,0.0,0.0,0.0,0.0,0.12678699999999998,22755.0,0.11176984891054483,2956843.0,4468662.0,0.5427203898069183,7760.0,0.19981460500566484,2031.0,0.28330311061514857,451224.0,0.3125434642270363,3632.0,0.3493987493987494,5940.0,1.0234321157822193,129.0,129.0,False,24720.0,52.188,34816.0,99.298,25104.0,60.339
apache-ant,8_2,5,0.05,278.0,0.0,366.0,402504.0,1105.0,992.0,10186.0,2388.0,1615786.0,8863.0,4176.0,1511819.0,0.0,1244.0,1443716.0,7399.0,7169.0,203588.0,38836.0,8233820.0,3706.0,1196.0,1379081.0,129.0,0.0,403.0,451168.0,1281.0,1095.0,0.0,0.0,0.0,0.0,0.12097100000000001,22755.0,0.11176984891054483,2994867.0,4506686.0,0.5473384164336845,7760.0,0.19981460500566484,2087.0,0.29111452085367556,451168.0,0.3125046754347808,3732.0,0.359018759018759,5868.0,1.011026878015162,129.0,129.0,False,25136.0,52.216,34640.0,118.026,25248.0,79.869
apache-ant,8_2,10,0.05,278.0,0.0,366.0,402504.0,1105.0,992.0,10186.0,2388.0,1615786.0,8863.0,4176.0,1511819.0,0.0,1244.0,1443716.0,7399.0,7169.0,203588.0,38836.0,8233820.0,3706.0,1196.0,1513942.0,129.0,0.0,406.0,451896.0,1212.0,1072.0,0.0,0.0,0.0,0.0,0.12097100000000001,22755.0,0.11176984891054483,3129728.0,4641547.0,0.563717326830074,7760.0,0.19981460500566484,2064.0,0.2879062630771377,451896.0,0.3130089297341028,4333.0,0.41683501683501684,5892.0,1.0151619572708477,129.0,129.0,False,24768.0,54.412,35136.0,107.039,25936.0,66.244
apache-ant,8_3,1,0.05,262.0,0.0,452.0,553612.0,1230.0,1068.0,10192.0,2388.0,1452221.0,8863.0,4176.0,1514599.0,0.0,1019.0,1440880.0,5631.0,5401.0,203588.0,38836.0,6981313.0,4718.0,1196.0,1040043.0,143.0,0.0,508.0,553164.0,1321.0,1168.0,0.0,0.0,0.0,0.0,0.09776,23773.0,0.11677014362339627,2492264.0,4006863.0,0.5739411769677136,7760.0,0.19981460500566484,2236.0,0.4139974078874283,553612.0,0.384217977902393,3742.0,2.813533834586466,5884.0,1.006155950752394,143.0,143.0,False,26064.0,81.396,33600.0,145.547,27984.0,123.721
apache-ant,8_3,5,0.05,262.0,0.0,452.0,553612.0,1230.0,1068.0,10192.0,2388.0,1452221.0,8863.0,4176.0,1514599.0,0.0,1019.0,1440880.0,5631.0,5401.0,203588.0,38836.0,6981313.0,4718.0,1196.0,1623871.0,143.0,0.0,512.0,552512.0,1360.0,1220.0,0.0,0.0,0.0,0.0,0.09301,23773.0,0.11677014362339627,3076092.0,4590691.0,0.6575684258820654,7760.0,0.19981460500566484,2288.0,0.42362525458248473,553612.0,0.384217977902393,3734.0,2.8075187969924813,5872.0,1.0041039671682626,143.0,143.0,False,26208.0,81.956,33600.0,148.737,28080.0,124.904
apache-ant,8_3,10,0.05,262.0,0.0,452.0,553612.0,1230.0,1068.0,10192.0,2388.0,1452221.0,8863.0,4176.0,1514599.0,0.0,1019.0,1440880.0,5631.0,5401.0,203588.0,38836.0,6981313.0,4718.0,1196.0,1492031.0,143.0,0.0,513.0,552524.0,1447.0,1259.0,0.0,0.0,0.0,0.0,0.088686,23773.0,0.11677014362339627,2944252.0,4458851.0,0.6386837261128386,7760.0,0.19981460500566484,2327.0,0.4308461396037771,553612.0,0.384217977902393,4098.0,3.081203007518797,5872.0,1.0041039671682626,143.0,143.0,False,25792.0,83.921,33504.0,153.422,28240.0,131.576
apache-ant,8_4,1,0.05,261.0,0.0,373.0,514356.0,1067.0,918.0,10208.0,2196.0,714250.0,8863.0,3918.0,660885.0,0.0,1354.0,1415008.0,6581.0,6370.0,203540.0,38488.0,6223230.0,5384.0,1093.0,710536.0,147.0,0.0,571.0,570696.0,1305.0,1162.0,9164.0,1954.0,728376.0,0.0,0.103032,24455.0,0.1201483737840228,696410.0,2085671.0,0.33514284382868703,7207.0,0.18725316981916443,2080.0,0.32653061224489793,570696.0,0.40331644768086117,4144.0,2.3492063492063493,5796.0,0.9972470750172058,147.0,147.0,False,25280.0,86.624,39840.0,447.127,29984.0,168.764
