name,return_iter,return_perd
v1_subv1,2,1.73
v1_subv10,21,2.69
v1_subv11, , 
v1_subv12,1,0.3
v1_subv13, , 
v1_subv14,1,0.05
v1_subv15,29,7.5
v1_subv16,5,2.2
v1_subv17,4,0.54
v1_subv18,18,1.79
v1_subv19,3,0.76
v1_subv2,2,0.82
v1_subv20,2,0.16
v1_subv21,1,0.78
v1_subv22,4,0.56
v1_subv23,10,2.79
v1_subv24,7,2.51
v1_subv25, , 
v1_subv26,8,1.1
v1_subv27,18,4.95
v1_subv28,3,0.78
v1_subv29,2,0.24
v1_subv3,3,1.84
v1_subv30,9,1.58
v1_subv31,3,0.37
v1_subv32,9,1.06
v1_subv33, , 
v1_subv34,11,1.18
v1_subv35, , 
v1_subv36,14,5.08
v1_subv37, , 
v1_subv38,8,1.19
v1_subv39,1,0.89
v1_subv4,2,0.14
v1_subv40,2,0.12
v1_subv41,3,0.36
v1_subv42,5,0.83
v1_subv43,3,1.27
v1_subv44,2,1.83
v1_subv45,2,0.5
v1_subv46,2,0.17
v1_subv47, , 
v1_subv48,1,0.11
v1_subv49,2,0.23
v1_subv5,2,0.59
v1_subv50,10,1.48
v1_subv51,1,1.58
v1_subv52,2,0.19
v1_subv53,1,0.82
v1_subv54,2,0.51
v1_subv55,4,0.26
v1_subv56,3,0.58
v1_subv57, , 
v1_subv58,5,2.68
v1_subv59,1,0.06
v1_subv6,5,0.64
v1_subv60,4,0.58
v1_subv61,6,0.84
v1_subv62,1,0.84
v1_subv63,4,2.19
v1_subv64,3,0.32
v1_subv65,1,0.51
v1_subv7,15,4.76
v1_subv8,21,3.19
v1_subv9,13,2
v2_subv1,14,0.19
v2_subv10, , 
v2_subv11,2,0.13
v2_subv12,4,0.1
v2_subv13,15,0.67
v2_subv14,25,0.27
v2_subv15,50,3.39
v2_subv16, , 
v2_subv17,9,0.2
v2_subv18,8,0.12
v2_subv19,14,0.42
v2_subv2,19,0.51
v2_subv20, , 
v2_subv21,6,0.15
v2_subv22,15,0.22
v2_subv23,13,0.66
v2_subv24,1,0.01
v2_subv25,153,9.73
v2_subv26,126,7.63
v2_subv3,11,0.24
v2_subv4,31,0.9
v2_subv5,4,0.08
v2_subv6,13,0.79
v2_subv7,7,0.18
v2_subv8,4,0.13
v2_subv9,20,0.44
v3_subv1,7,0.18
v3_subv10,12,0.26
v3_subv100,16,2.69
v3_subv101,5,0.82
v3_subv102,10,1.68
v3_subv103,6,0.82
v3_subv104,6,1.29
v3_subv105, , 
v3_subv106,7,1.89
v3_subv11,34,1.17
v3_subv14,6,0.16
v3_subv19,28,1.63
v3_subv2,11,0.4
v3_subv20,71,3.91
v3_subv21,16,0.62
v3_subv22,11,0.49
v3_subv23,15,0.66
v3_subv24,14,0.61
v3_subv25,9,0.66
v3_subv26,1,0.06
v3_subv27,3,0.06
v3_subv28,36,1.99
v3_subv29,23,0.88
v3_subv3, , 
v3_subv30,24,1
v3_subv31,36,1.89
v3_subv32,90,4.16
v3_subv33,36,2.18
v3_subv34,4,0.12
v3_subv35,1,0.03
v3_subv36,3,0.12
v3_subv37,14,0.57
v3_subv38,10,4.26
v3_subv4,27,0.91
v3_subv40,8,0.57
v3_subv42,34,2.14
v3_subv43,21,0.47
v3_subv45,3,0.08
v3_subv46,10,0.64
v3_subv47,11,0.68
v3_subv48,13,0.6
v3_subv49,21,0.82
v3_subv5,2,0.07
v3_subv50,11,0.6
v3_subv52,5,0.56
v3_subv53,2,0.11
v3_subv57,7,0.34
v3_subv58,28,2.21
v3_subv6,74,3.05
v3_subv60,16,0.91
v3_subv61,3,0.06
v3_subv65,13,1.23
v3_subv66,19,0.96
v3_subv67,8,0.54
v3_subv68,7,0.79
v3_subv69,22,1.47
v3_subv7,45,2.25
v3_subv70,3,0.16
v3_subv71,25,3.09
v3_subv72,4,0.64
v3_subv73,4,0.64
v3_subv75,12,0.61
v3_subv76,32,2.07
v3_subv77,18,0.76
v3_subv78,8,0.86
v3_subv8,5,0.19
v3_subv80,21,2.71
v3_subv81,16,2.51
v3_subv82,31,2.49
v3_subv83,32,2.63
v3_subv85,12,0.81
v3_subv86,12,1.14
v3_subv87,30,2.6
v3_subv88,32,2.82
v3_subv89, , 
v3_subv9,6,0.11
v3_subv90, , 
v3_subv91,3,0.14
v3_subv92,5,0.34
v3_subv94,1,0.07
v3_subv95,11,1.79
v3_subv96,5,0.85
v3_subv97,2,0.76
v3_subv98,2,0.24
v3_subv99,2,0.15
v4_subv1,13,0.64
v4_subv10,55,3.72
v4_subv11,146,13.33
v4_subv12,61,3.9
v4_subv13,75,5.74
v4_subv14,185,12.05
v4_subv15, , 
v4_subv16,108,8.23
v4_subv17,49,2.63
v4_subv18,12,0.65
v4_subv19,82,6.19
v4_subv2,12,0.75
v4_subv20,72,5.52
v4_subv21,76,5.71
v4_subv22,35,2.4
v4_subv23,14,1.31
v4_subv24,85,5.45
v4_subv25,56,3.59
v4_subv26,144,10.57
v4_subv27,43,3.74
v4_subv3,100,7.33
v4_subv4,12,0.77
v4_subv5,23,1.2
v4_subv6,114,7.47
v4_subv7,59,3.82
v4_subv8,12,1.27
v4_subv9,12,1.35
v5_subv1,99,24.46
v5_subv10,48,11.27
v5_subv11,14,3.19
v5_subv12,16,5.24
v5_subv13,53,20.7
v5_subv14,58,23.39
v5_subv15,30,10.84
v5_subv16,39,15.99
v5_subv17,11,4.34
v5_subv18,15,3.18
v5_subv19,82,19.73
v5_subv2,11,2.37
v5_subv20,75,19.16
v5_subv21,8,1.74
v5_subv23,60,15.92
v5_subv24,53,13.42
v5_subv26,37,10.21
v5_subv27,52,17.58
v5_subv28,47,15.99
v5_subv29,56,21.88
v5_subv3,89,20.83
v5_subv30,24,9.59
v5_subv31,21,7.69
v5_subv32,73,29.03
v5_subv33,66,26.3
v5_subv34,49,23.31
v5_subv35,36,16.24
v5_subv36,44,21.45
v5_subv37,33,15.99
v5_subv38,52,28.92
v5_subv4,59,13.73
v5_subv6,84,20.54
v5_subv7,52,11.88
v5_subv8,1,0.17
v5_subv9,48,11.07
v6_subv1,679,22.44
v6_subv100,126,3.84
v6_subv101,406,19.11
v6_subv102,562,27.61
v6_subv103,358,15.91
v6_subv104,62,1.83
v6_subv105,135,6.45
v6_subv106,218,10.74
v6_subv107,385,11.15
v6_subv108,297,7.93
v6_subv109,88,3.55
v6_subv110,215,4.57
v6_subv111,134,2.92
v6_subv112,543,16.01
v6_subv113,216,5.15
v6_subv114,330,9.31
v6_subv115,451,12.22
v6_subv116,500,15.91
v6_subv117,507,14.78
v6_subv118,570,17.14
v6_subv119,253,7.37
v6_subv12,379,11.77
v6_subv120,329,8.69
v6_subv121,329,8.69
v6_subv122,83,2.3
v6_subv123,121,3.27
v6_subv124,197,4.87
v6_subv125,510,15.2
v6_subv126,234,6.11
v6_subv127,267,7.15
v6_subv128,91,2.33
v6_subv129,602,19.95
v6_subv13,725,24.21
v6_subv130,320,9.88
v6_subv131,197,5.52
v6_subv132,216,6.33
v6_subv133,88,3.89
v6_subv134,369,18.12
v6_subv135,406,18.81
v6_subv136,227,9.23
v6_subv137,166,6.57
v6_subv138,327,15.02
v6_subv139,169,6.36
v6_subv14,408,12.12
v6_subv140,134,4.96
v6_subv141,514,23.87
v6_subv142,236,10.71
v6_subv143,130,4.94
v6_subv144,376,16.85
v6_subv145,61,3.07
v6_subv146,76,1.92
v6_subv147,389,16.35
v6_subv148,203,7.97
v6_subv149,370,15.59
v6_subv150,294,11.24
v6_subv151,1,0.14
v6_subv152,268,9.48
v6_subv153,207,8.28
v6_subv154,376,13.39
v6_subv155,267,9.92
v6_subv156,294,11
v6_subv157,270,10.93
v6_subv158,516,19.87
v6_subv159,337,10.97
v6_subv16,618,20.31
v6_subv160,468,16.5
v6_subv161,152,3.39
v6_subv162,245,7.9
v6_subv163,255,7.51
v6_subv164,393,12.79
v6_subv165,413,13.46
v6_subv166,328,10.17
v6_subv167,454,14.02
v6_subv168,419,13.4
v6_subv169,460,14.66
v6_subv17,428,13.14
v6_subv170,369,11.31
v6_subv171,612,18.42
v6_subv172,504,14.67
v6_subv173,237,6.11
v6_subv174,292,8.3
v6_subv175,423,12.5
v6_subv176,497,13.73
v6_subv18,348,11.6
v6_subv19,316,9.5
v6_subv2,301,9.47
v6_subv20,205,5.44
v6_subv21,228,6.28
v6_subv22,228,6.32
v6_subv23,168,3.36
v6_subv24,201,4.67
v6_subv25,316,10.47
v6_subv26,234,6.16
v6_subv27,10,0.13
v6_subv28,324,9.24
v6_subv29,309,8.58
v6_subv30,339,10.99
v6_subv31,214,8.09
v6_subv32,312,10.88
v6_subv33,469,15.07
v6_subv34,3,0.71
v6_subv35,452,14.05
v6_subv37,168,5.61
v6_subv39,51,1.2
v6_subv40,436,15.02
v6_subv41,422,13.8
v6_subv42,79,1.87
v6_subv43,448,14.59
v6_subv44,84,2.44
v6_subv45,266,7.64
v6_subv46,78,2.19
