#percentage ARBI
0 0
0.0091930541	0.4857200337
0.0094287735	0.4857200337
0.0101359315	0.4857200337
0.0111573819	0.4857200337
0.0166574998	0.4857200337
0.0295434902	0.4857200337
0.053901155	0.4857200337
0.0859589848	0.4857200337
0.0865089966	0.4857200337
0.0897304942	0.4857200337
0.0938948692	0.4857200337
0.1052093973	0.7368326236
0.105680836	0.7368326236
0.1099237841	0.7368326236
0.1115738194	0.7368326236
0.1132238548	0.7368326236
0.1151096095	0.7368326236
0.1180168146	0.8574938126
0.1463817082	0.8574938126
0.1494460596	0.8574938126
0.1525104109	0.8574938126
0.1571462246	0.8574938126
0.1595034179	0.8574938126
0.1685393258	0.8574938126
0.1727822739	0.8574938126
0.1758466253	0.8574938126
0.1792252691	0.8574938126
0.1793038422	0.8574938126
0.1793824153	0.8574938126
0.1794609884	0.8574938126
0.1795395616	0.8574938126
0.1796181347	0.8574938126
0.1797752809	0.8574938126
0.1802467196	0.8574938126
0.1808753045	0.8574938126
0.18126817	0.8574938126
0.1823681936	0.8574938126
0.1834682172	0.8574938126
0.1845682407	0.8574938126
0.1858254105	0.8574938126
0.1871611535	0.8574938126
0.1886540426	0.8574938126
0.1900683586	0.8574938126
0.1914826746	0.8574938126
0.1930541369	0.8574938126
0.1950184647	0.8574938126
0.1969827925	0.8574938126
0.1985542547	0.8574938126
0.2002828632	0.8574938126
0.2021686179	0.8574938126
0.2044472382	0.8574938126
0.2067258584	0.8574938126
0.2090044787	0.8574938126
0.2112830989	0.8574938126
0.2135617192	0.8574938126
0.2161546319	0.8574938126
0.2189046908	0.8574938126
0.221811896	0.8574938126
0.224640528	0.8574938126
0.2276263063	0.8574938126
0.2306120845	0.8574938126
0.2335978628	0.8574938126
0.2365836411	0.8574938126
0.2395694193	0.8574938126
0.2425551976	0.8574938126
0.2455409759	0.8574938126
0.2486053273	0.8574938126
0.2517482517	0.8574938126
0.2550483225	0.8574938126
0.2574840889	0.8574938126
0.2605484403	0.8574938126
0.2640842304	0.8574938126
0.2679343129	0.8574938126
0.271548676	0.8574938126
0.2752416123	0.8574938126
0.2790916948	0.8574938126
0.2830989235	0.8574938126
0.2873418716	0.8574938126
0.2918991121	0.8574938126
0.2960634871	0.8574938126
0.3006993007	0.8574938126
0.3050208219	0.8574938126
0.3096566355	0.8574938126
0.3144495953	0.8574938126
0.3195568476	0.8574938126
0.3243498075	0.8574938126
0.3294570598	0.8574938126
0.3345643121	0.8574938126
0.3396715644	0.8574938126
0.3449359629	0.8574938126
0.3503575077	0.8574938126
0.356171918	0.8574938126
0.3621434745	0.8574938126
0.3684293235	0.8574938126
0.3733794296	0.8574938126
0.3802938634	0.8574938126
0.3876011629	0.8574938126
0.3958513397	0.8574938126
0.4027657736	0.8574938126
0.4109373772	0.8574938126
0.4192661271	0.8574938126
0.4279091695	0.8574938126
0.438045101	0.8574938126
0.4473167282	0.8574938126
0.4578455253	0.8574938126
0.4679814567	0.8574938126
0.4798459967	0.8574938126
0.4921819753	0.8574938126
0.5047536733	0.8574938126
0.5175610906	0.8574938126
0.5303685079	0.8574938126
0.5442759488	0.8574938126
0.5581833896	0.8574938126
0.5720908305	0.8574938126
0.581519604	0.8574938126
0.5984913962	0.8574938126
0.6154631885	0.8574938126
0.6374636599	0.8574938126
0.6604855818	0.8574938126
0.6907362301	0.8574938126
0.7215368901	0.8574938126
0.7598019958	0.8574938126
0.8024671957	0.8574938126
0.8535397187	0.8574938126
1	0.8574938126


#percentage Forward TTest
0.00072364 1.32E-06
0.019538314 3.58E-05
0.020205021 0.0711307
0.021637418 0.0897271
0.021625164 0.10504
0.02958434 0.106148
0.029575553 0.117085
0.030290436 0.128024
0.0331841 0.129123
0.037517215 0.140069
0.038946981 0.161946
0.039662702 0.171791
0.041103885 0.17945
0.044720323 0.181644
0.044707173 0.19805
0.046149193 0.204616
0.047583383 0.221024
0.049012253 0.243996
0.055476808 0.304164
0.057643395 0.309637
0.058355649 0.323857
0.059796175 0.332609
0.061932457 0.375269
0.065545726 0.381839
0.067703527 0.398249
0.072766886 0.400445
0.074197848 0.421229
0.079262403 0.422332
0.079975493 0.435459
0.082129109 0.457338
0.086464435 0.465002
0.100934848 0.468309
0.103824268 0.474877
0.109609683 0.479263
0.11249731 0.488018
0.125523013 0.488042
0.126962343 0.497888
0.12767902 0.50664
0.129827854 0.533987
0.137787806 0.534002
0.14067902 0.538382
0.202911536 0.53959
0.205803347 0.542876
0.21231321 0.54617
0.220993425 0.55056
0.228950986 0.553856
0.235456665 0.562618
0.257164973 0.563752
0.276702331 0.564881
0.29262104 0.567098
0.296233712 0.573667
0.32373162 0.574811
0.32444471 0.587937
0.368585176 0.590205
0.371476987 0.593492
0.397527794 0.59354
0.397521817 0.601196
0.498831441 0.601381
0.501724447 0.603574
0.543693963 0.605838
0.584217573 0.605913
0.586384937 0.610291
0.605200239 0.612513


#percentage Backward Importance
0.000722767 0.00109507
0.001325505 0.152034
0.001201106 0.307346
0.006983204 0.316106
0.010578661 0.34455
0.011997908 0.379553
0.018503646 0.388315
0.021392947 0.394883
0.02210257 0.412384
0.025712911 0.422234
0.027874238 0.43427
0.029310998 0.447397
0.029300478 0.460522
0.033641423 0.461624
0.034358099 0.470375
0.035795696 0.482409
0.041582247 0.485701
0.046640705 0.49446
0.054600777 0.494475
0.057487448 0.504324
0.06617095 0.50434
0.070503288 0.516379
0.077735206 0.521861
0.08496832 0.526249
0.099437537 0.53065
0.123315003 0.533975
0.12547639 0.546011
0.131260012 0.552584
0.146454871 0.554799
0.164544531 0.55702
0.18552899 0.558152
0.213025702 0.56039
