pid,k,inst
space,1,0.2584463751561149
space,5,0.3469596874742456
space,10,0.35021027871241867
sed,1,0.15685733394700738
sed,5,0.4383119120117549
sed,10,0.4383119120117549
gzip,1,0.21831164649192294
gzip,5,0.3041326908167431
gzip,10,0.3041326908167431
grep,1,0.23846828397189412
grep,5,0.35994472485433976
grep,10,0.35994472485433976
bash,1,0.33432334443953665
bash,5,0.34884859415681296
bash,10,0.34884859415681296
nanoxml,1,0.4630235579718349
nanoxml,5,0.5165727055275796
nanoxml,10,0.6130618782770548
siena,1,0.23982528263103803
siena,5,0.23982528263103803
siena,10,0.35215827338129496
ant,1,0.11432374098908288
ant,5,0.11432374098908288
ant,10,0.1145472315680954
derby,1,0.049640138357243666
derby,5,0.049640138357243666
derby,10,0.049640138357243666
lang,1,0.03409306583265807
lang,5,0.03613328401954803
lang,10,0.036153069642325245
chart,1,0.017932590433385
chart,5,0.02064319707705114
chart,10,0.020686270647095665
math,1,0.016472739781234536
math,5,0.018764575765202005
math,10,0.0188581764558279
time,1,0.09032981530241642
time,5,0.0943033179076144
time,10,0.09587336425130438
mockito,1,0.23487261383428984
mockito,5,0.25080659758081114
mockito,10,0.250906459470654
closure,1,0.08940532375714647
closure,5,0.09460602963570162
closure,10,0.09494992592650776
