pid,top-k,percent3_2
space,top-1,0.6846472623228219
space,top-5,0.856874754220717
space,top-10,0.8618378443860827
sed,top-1,0.47292948768660875
sed,top-5,0.6873965449725209
sed,top-10,0.6875311142313716
gzip,top-1,0.5229091669473582
gzip,top-5,0.6388236046487028
gzip,top-10,0.6370316657442484
grep,top-1,0.6827414153115222
grep,top-5,0.7450421525851009
grep,top-10,0.7402712479835891
bash,top-1,0.6953101370551065
bash,top-5,0.6920588088388392
bash,top-10,0.6937238948933427
nanoxml,top-1,0.7130559705027104
nanoxml,top-5,0.8324558804406571
nanoxml,top-10,0.8583241283384077
siena,top-1,0.5052566246136697
siena,top-5,0.5035339717282262
siena,top-10,0.5284111060444849
ant,top-1,0.37254214080057524
ant,top-5,0.37254375095907755
ant,top-10,0.37268606885897193
derby,top-1,0.40333617670434113
derby,top-5,0.40333617670434113
derby,top-10,0.40333617670434113
lang,top-1,0.08107817395868147
lang,top-5,0.09053131478837036
lang,top-10,0.09082823605232347
chart,top-1,0.05074705105442016
chart,top-5,0.0739336001493947
chart,top-10,0.07506175109222751
math,top-1,0.1597287931507937
math,top-5,0.19119050329292298
math,top-10,0.19187036151267625
time,top-1,0.17754656403445612
time,top-5,0.1896643959623383
time,top-10,0.19373158059151901
mockito,top-1,0.5973477471493112
mockito,top-5,0.6394717334179507
mockito,top-10,0.6422201158885741
closure,top-1,0.309546056446409
closure,top-5,0.3237984725267952
closure,top-10,0.32350028199818276
