pid,top-k,percent3_1
space,top-1,0.29718201366247865
space,top-5,0.40838186253126463
space,top-10,0.42290335294174874
sed,top-1,0.2433495499924099
sed,top-5,0.518952340954626
sed,top-10,0.5623973128420311
gzip,top-1,0.26329637697292574
gzip,top-5,0.4249419672517451
gzip,top-10,0.4411141129758738
grep,top-1,0.29929152114469987
grep,top-5,0.543095335689319
grep,top-10,0.5516233348465919
bash,top-1,0.4199273330468842
bash,top-5,0.4737446695537953
bash,top-10,0.4969399677875514
nanoxml,top-1,0.6152392438521465
nanoxml,top-5,0.7203413019272619
nanoxml,top-10,0.7516018995854591
siena,top-1,0.7377998345740281
siena,top-5,0.8031430934656741
siena,top-10,0.8254755996691481
ant,top-1,0.3312421221444365
ant,top-5,0.338443648471513
ant,top-10,0.34835764197756525
derby,top-1,0.1227281482884501
derby,top-5,0.12465328772493627
derby,top-10,0.12646709438453124
lang,top-1,0.1402738627481164
lang,top-5,0.1425301821969831
lang,top-10,0.13635130982249025
chart,top-1,0.04607326997946335
chart,top-5,0.05426926718496402
chart,top-10,0.048905053256726824
math,top-1,0.17645919155921677
math,top-5,0.1987809510998919
math,top-10,0.20711072572688066
time,top-1,0.22328204845493985
time,top-5,0.18267166149153213
time,top-10,0.17915077339905405
mockito,top-1,0.7515112449353618
mockito,top-5,0.7499049101823498
mockito,top-10,0.7141987998473337
closure,top-1,0.1703281579844259
closure,top-5,0.16607856191534703
closure,top-10,0.15337163337890053
