name,top-1,top-5,top-10
v6_subv1,6.42,20.43,29.42
v6_subv3,10.28,10.45,10.45
v6_subv5,7.08,7.08,7.08
v6_subv8,5.25,5.25,5.25
v6_subv9,0.01,0.01,0.01
v6_subv12,9.63,9.63,9.63
v3_subv9,0.69,0.69,0.69
v3_subv98,0.18,0.18,0.18
v1_subv1,1.17,1.17,1.17
v1_subv2,0.12,0.12,0.12
v1_subv3,1.13,1.13,1.13
v1_subv4,0.31,0.31,0.31
v1_subv5,0.09,0.09,0.09
v1_subv6,0.58,0.58,0.58
v1_subv7,3.13,3.13,3.13
v1_subv8,1.44,1.44,1.44
v1_subv9,0.92,0.92,0.92
v1_subv10,1.46,1.46,1.46
v1_subv11,0.59,0.59,0.59
v1_subv12,0.55,0.56,0.56
v1_subv13,0.01,0.01,0.01
v1_subv14,0.01,0.01,0.01
v1_subv15,6.12,6.12,6.12
v1_subv16,1.28,1.28,1.28
v1_subv17,0.64,0.64,0.64
v1_subv18,2.32,2.32,2.32
v1_subv19,0.86,0.86,0.86
v1_subv20,0.35,0.35,0.35
v1_subv21,0.13,0.13,0.13
v1_subv22,1.73,1.73,1.73
v1_subv23,0.94,0.94,0.94
v1_subv24,2.94,2.94,2.94
v1_subv25, , , 
v1_subv26,0.85,0.85,0.85
v1_subv27,3.91,3.91,3.91
v1_subv28,0.69,0.69,0.69
v1_subv29,0.43,0.43,0.43
v1_subv30,0.69,0.94,0.94
v1_subv31,0.17,0.17,0.17
v1_subv32,0.74,0.74,0.74
v1_subv33,0.08,0.08,0.08
v1_subv34,1.13,1.14,1.17
v1_subv35,0.03,0.03,0.03
v1_subv36,1.49,5.08,5.08
v1_subv37,0.12,0.12,0.12
v1_subv38,1.16,1.16,1.16
v1_subv39,3.66,3.66,3.66
v1_subv40,0.03,0.03,0.03
v1_subv41,0.13,0.13,0.13
v1_subv42,0.44,0.44,0.44
v1_subv43,0.5,0.5,0.5
v1_subv44,1.22,1.22,1.22
v1_subv45,0.11,0.11,0.11
v1_subv46,0.07,0.07,0.07
v1_subv47,0.97,0.97,0.97
v1_subv48,0.38,0.38,0.38
v1_subv49,1.53,1.53,1.53
v1_subv50,0.8,0.91,0.91
v1_subv51,0.27,0.27,0.27
v1_subv52,0.07,0.07,0.07
v1_subv53,2.57,2.57,2.57
v1_subv54,0.1,0.1,0.1
v1_subv55,0.16,0.16,0.16
v1_subv56,0.52,0.52,0.52
v1_subv57, , , 
v1_subv58,1.45,1.45,1.45
v1_subv59,0.54,0.54,0.54
v1_subv60,1.08,1.08,1.08
v1_subv61,1.02,1.02,1.02
v1_subv62,0.93,0.93,0.93
v1_subv63,6.05,6.05,6.05
v1_subv64,0.19,0.19,0.19
v1_subv65,1.81,1.81,1.81
v2_subv1,0.51,0.51,0.51
v2_subv3,0.08,0.08,0.08
v2_subv4,0.42,0.42,0.6
v2_subv5,0.03,0.03,0.03
v2_subv7,0.16,0.16,0.16
v2_subv8,0.03,0.03,0.03
v2_subv9,0.27,0.27,0.27
v2_subv10, , , 
v2_subv11,0.05,0.05,0.05
v2_subv12,0.04,0.04,0.04
v2_subv13,1.04,1.04,1.04
v2_subv16,0.02,0.05,0.05
v2_subv17,0.08,0.08,0.08
v2_subv18,0.01,0.03,0.03
v2_subv19,0.3,0.3,0.3
v2_subv20,0.0,0.0,0.0
v2_subv21,0.07,0.07,0.07
v2_subv22,0.02,0.03,0.03
v2_subv23,0.27,0.27,0.27
v2_subv24,0.06,0.06,0.06
v2_subv25,5.57,7.09,7.09
v2_subv26,2.97,5.03,5.72
